label	habitat	family	is_mag	bin_id	sample_id	is_target	is_sister	is_key	display_label
IS|SY365BB-0-4_bin24-k141_346659_3	ISSY365BB-0-4_bin24-k141_346659_3	Group derep MAG K08356	TRUE	SY365BB-0-4_bin24	SY365BB-0-4	FALSE	FALSE	FALSE	IS|SY365BB-0-4_bin24-k141_346659_3
IS|SY365BB-8-12_bin10-k141_688982_32	ISSY365BB-8-12_bin10-k141_688982_32	Group derep MAG K08356	TRUE	SY365BB-8-12_bin10	SY365BB-8-12	FALSE	FALSE	FALSE	IS|SY365BB-8-12_bin10-k141_688982_32
IS|SY366YW-8-12_bin2-k141_497241_22	ISSY366YW-8-12_bin2-k141_497241_22	Group derep MAG K08356	TRUE	SY366YW-8-12_bin2	SY366YW-8-12	FALSE	FALSE	FALSE	IS|SY366YW-8-12_bin2-k141_497241_22
IS|SY456YB-8-12_bin27-k141_1029503_28	ISSY456YB-8-12_bin27-k141_1029503_28	Group derep MAG K08356	TRUE	SY456YB-8-12_bin27	SY456YB-8-12	FALSE	FALSE	FALSE	IS|SY456YB-8-12_bin27-k141_1029503_28
IS|SY365BB-8-12_bin26-k141_1297159_20	ISSY365BB-8-12_bin26-k141_1297159_20	Group derep MAG K08356	TRUE	SY365BB-8-12_bin26	SY365BB-8-12	FALSE	FALSE	FALSE	IS|SY365BB-8-12_bin26-k141_1297159_20
IS|SY456YB-0-4_bin8-k141_492248_42	ISSY456YB-0-4_bin8-k141_492248_42	Group derep MAG K08356	TRUE	SY456YB-0-4_bin8	SY456YB-0-4	FALSE	FALSE	FALSE	IS|SY456YB-0-4_bin8-k141_492248_42
IS|SY457BB-8-12_bin16-k141_1142550_1	ISSY457BB-8-12_bin16-k141_1142550_1	Group derep MAG K08356	TRUE	SY457BB-8-12_bin16	SY457BB-8-12	FALSE	FALSE	FALSE	IS|SY457BB-8-12_bin16-k141_1142550_1
IS|SY457BB-8-12_bin15-k141_1498167_38	ISSY457BB-8-12_bin15-k141_1498167_38	Group derep MAG K08356	TRUE	SY457BB-8-12_bin15	SY457BB-8-12	FALSE	FALSE	FALSE	IS|SY457BB-8-12_bin15-k141_1498167_38
IS|SY457BB-4-8_bin29-k141_12975_7	ISSY457BB-4-8_bin29-k141_12975_7	Group derep MAG K08356	TRUE	SY457BB-4-8_bin29	SY457BB-4-8	FALSE	FALSE	FALSE	IS|SY457BB-4-8_bin29-k141_12975_7
IS|SY457BB-8-12_bin4-k141_1432391_5	ISSY457BB-8-12_bin4-k141_1432391_5	Group derep MAG K08356	TRUE	SY457BB-8-12_bin4	SY457BB-8-12	FALSE	FALSE	FALSE	IS|SY457BB-8-12_bin4-k141_1432391_5
IS|SY457BB-8-12_bin25-k141_129537_12	ISSY457BB-8-12_bin25-k141_129537_12	Group derep MAG K08356	TRUE	SY457BB-8-12_bin25	SY457BB-8-12	FALSE	FALSE	FALSE	IS|SY457BB-8-12_bin25-k141_129537_12
IS|SY368YW-8-12_bin33-k141_1103131_193	ISSY368YW-8-12_bin33-k141_1103131_193	Group derep MAG K08356	TRUE	SY368YW-8-12_bin33	SY368YW-8-12	FALSE	FALSE	FALSE	IS|SY368YW-8-12_bin33-k141_1103131_193
IS|SY456YB-8-12_bin34-k141_963697_76	ISSY456YB-8-12_bin34-k141_963697_76	Group derep MAG K08356	TRUE	SY456YB-8-12_bin34	SY456YB-8-12	FALSE	FALSE	FALSE	IS|SY456YB-8-12_bin34-k141_963697_76
IS|SY459WG-8-12_bin2-k141_281775_92	ISSY459WG-8-12_bin2-k141_281775_92	Group derep MAG K08356	TRUE	SY459WG-8-12_bin2	SY459WG-8-12	FALSE	FALSE	FALSE	IS|SY459WG-8-12_bin2-k141_281775_92
IS|SY365BB-8-12_bin8-k141_832694_5	ISSY365BB-8-12_bin8-k141_832694_5	Group derep MAG K08356	TRUE	SY365BB-8-12_bin8	SY365BB-8-12	FALSE	FALSE	FALSE	IS|SY365BB-8-12_bin8-k141_832694_5
IS|SY366YB-0-4_bin5-k141_98994_2	ISSY366YB-0-4_bin5-k141_98994_2	Group derep MAG K08356	TRUE	SY366YB-0-4_bin5	SY366YB-0-4	FALSE	FALSE	FALSE	IS|SY366YB-0-4_bin5-k141_98994_2
IS|SY459WG-0-4_bin37-k141_569169_31	ISSY459WG-0-4_bin37-k141_569169_31	Group derep MAG K08356	TRUE	SY459WG-0-4_bin37	SY459WG-0-4	FALSE	FALSE	FALSE	IS|SY459WG-0-4_bin37-k141_569169_31
IS|SY457BB-8-12_bin10-k141_377897_3	ISSY457BB-8-12_bin10-k141_377897_3	Group derep MAG K08356	TRUE	SY457BB-8-12_bin10	SY457BB-8-12	FALSE	FALSE	FALSE	IS|SY457BB-8-12_bin10-k141_377897_3
IS|SY456YB-8-12_bin4-k141_708485_189	ISSY456YB-8-12_bin4-k141_708485_189	Group derep MAG K08356	TRUE	SY456YB-8-12_bin4	SY456YB-8-12	FALSE	FALSE	FALSE	IS|SY456YB-8-12_bin4-k141_708485_189
IS|SY459WG-8-12_bin19-k141_364478_5	ISSY459WG-8-12_bin19-k141_364478_5	Group derep MAG K08356	TRUE	SY459WG-8-12_bin19	SY459WG-8-12	FALSE	FALSE	FALSE	IS|SY459WG-8-12_bin19-k141_364478_5
IS|SY366YW-0-4_bin9-k141_1360848_3	ISSY366YW-0-4_bin9-k141_1360848_3	Group derep MAG K08356	TRUE	SY366YW-0-4_bin9	SY366YW-0-4	FALSE	FALSE	FALSE	IS|SY366YW-0-4_bin9-k141_1360848_3
IS|SY456YB-8-12_bin5-k141_222164_2	ISSY456YB-8-12_bin5-k141_222164_2	Group derep MAG K08356	TRUE	SY456YB-8-12_bin5	SY456YB-8-12	FALSE	FALSE	FALSE	IS|SY456YB-8-12_bin5-k141_222164_2
IS|SY457BB-4-8_bin33-k141_110702_26	ISSY457BB-4-8_bin33-k141_110702_26	Group derep MAG K08356	TRUE	SY457BB-4-8_bin33	SY457BB-4-8	FALSE	FALSE	FALSE	IS|SY457BB-4-8_bin33-k141_110702_26
IS|SY457BB-0-4_bin6-k141_196093_82	ISSY457BB-0-4_bin6-k141_196093_82	Group derep MAG K08356	TRUE	SY457BB-0-4_bin6	SY457BB-0-4	FALSE	FALSE	FALSE	IS|SY457BB-0-4_bin6-k141_196093_82
IS|SY366YW-0-4_bin34-k141_1276861_15	ISSY366YW-0-4_bin34-k141_1276861_15	Group derep MAG K08356	TRUE	SY366YW-0-4_bin34	SY366YW-0-4	FALSE	FALSE	FALSE	IS|SY366YW-0-4_bin34-k141_1276861_15
IS|SY366YB-0-4_bin3-k141_281514_2	ISSY366YB-0-4_bin3-k141_281514_2	Group derep MAG K08356	TRUE	SY366YB-0-4_bin3	SY366YB-0-4	FALSE	FALSE	FALSE	IS|SY366YB-0-4_bin3-k141_281514_2
LabrenalbaIdrA	Reference	IdrA/IriA reference	FALSE	NA	NA	FALSE	FALSE	FALSE	LabrenalbaIdrA
PseudoviaxineIdrA	Reference	IdrA/IriA reference	FALSE	NA	NA	FALSE	FALSE	FALSE	PseudoviaxineIdrA
LitoreiascidiIdrA	Reference	IdrA/IriA reference	FALSE	NA	NA	FALSE	FALSE	FALSE	LitoreiascidiIdrA
RoseobaclitorIdrA	Reference	IdrA/IriA reference	FALSE	NA	NA	FALSE	FALSE	FALSE	RoseobaclitorIdrA
OricolacelluIdrA	Reference	IdrA/IriA reference	FALSE	NA	NA	FALSE	FALSE	FALSE	OricolacelluIdrA
LitoritaeaneIdrA	Reference	IdrA/IriA reference	FALSE	NA	NA	FALSE	FALSE	FALSE	LitoritaeaneIdrA
