sample	habitat	r1	r2
C1_0-6	ES	/home/ps/ps1/data/bihongyu/cold_seep/illu/C1_0-6_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/C1_0-6_2.fastq
C1_12-18	ES	/home/ps/ps1/data/bihongyu/cold_seep/illu/C1_12-18_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/C1_12-18_2.fastq
C1_6-12	ES	/home/ps/ps1/data/bihongyu/cold_seep/illu/C1_6-12_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/C1_6-12_2.fastq
C2_0-6	ES	/home/ps/ps1/data/bihongyu/cold_seep/illu/C2_0-6_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/C2_0-6_2.fastq
C2_12-18	ES	/home/ps/ps1/data/bihongyu/cold_seep/illu/C2_12-18_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/C2_12-18_2.fastq
C2_6-12	ES	/home/ps/ps1/data/bihongyu/cold_seep/illu/C2_6-12_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/C2_6-12_2.fastq
C3_0-6	ES	/home/ps/ps1/data/bihongyu/cold_seep/illu/C3_0-6_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/C3_0-6_2.fastq
C3_12-18	ES	/home/ps/ps1/data/bihongyu/cold_seep/illu/C3_12-18_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/C3_12-18_2.fastq
C3_6-12	ES	/home/ps/ps1/data/bihongyu/cold_seep/illu/C3_6-12_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/C3_6-12_2.fastq
ES_2_0-6	ES	/home/ps/ps1/data/bihongyu/cold_seep/illu/ES_2_0-6_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/ES_2_0-6_2.fastq
NS_0-6	NS	/home/ps/ps1/data/bihongyu/cold_seep/illu/NS_0-6_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/NS_0-6_2.fastq
R2111_N300_0-10	NS	/home/ps/ps1/data/bihongyu/cold_seep/illu/R2111_N300_0-10_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/R2111_N300_0-10_2.fastq
R2111_N500_0-10	NS	/home/ps/ps1/data/bihongyu/cold_seep/illu/R2111_N500_0-10_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/R2111_N500_0-10_2.fastq
R2111_S300_0-10	NS	/home/ps/ps1/data/bihongyu/cold_seep/illu/R2111_S300_0-10_1.fastq	/home/ps/ps1/data/bihongyu/cold_seep/illu/R2111_S300_0-10_2.fastq
