metric	observed	expected_or_rule	status
METABOLIC_version	4.0	4.0	pass
input_mode	protein_faa	protein_faa	pass
input_MAG_count	808	808	pass
K08356_protein_count	48	informational	pass
K08356_unique_MAG_count	47	informational	pass
threads	100	100	pass
module_cutoff	0.75	0.75	pass
kofam_database	full	full	pass
run_start	2026-04-02T11:31:18	informational	pass
run_end	2026-04-03T00:36:14	informational	pass
wall_time	13:04:56	informational	pass
KEGG_identifier_file_count	1616	1616	pass
nutrient_cycle_PDF_count	3232	3232	pass
per_category_spreadsheet_count	6	6	pass
final_workbook_bytes	9583625	>0	pass
completion_marker_present	true	true	pass
overall_validation	pass	pass	pass
