Sample	sample_habitat	final_clade	n_Clade4_MAG	Clade4_host_MAG_TPM	log10_TPM_plus_1
C1_0-6	ES	Clade 4	20	0	0
C1_12-18	ES	Clade 4	20	0	0
C1_6-12	ES	Clade 4	20	0	0
C2_0-6	ES	Clade 4	20	0	0
C2_12-18	ES	Clade 4	20	0	0
C2_6-12	ES	Clade 4	20	0	0
C3_0-6	ES	Clade 4	20	0	0
C3_12-18	ES	Clade 4	20	0	0
C3_6-12	ES	Clade 4	20	0	0
ES_2_0-6	ES	Clade 4	20	0	0
NS_0-6	NS	Clade 4	20	0	0
R2111_N300_0-10	NS	Clade 4	20	0	0
R2111_N500_0-10	NS	Clade 4	20	0	0
R2111_S300_0-10	NS	Clade 4	20	0	0
R2111_S500_0-10	NS	Clade 4	20	0	0
S13_0-2	ES	Clade 4	20	0	0
S14_4-6	ES	Clade 4	20	0	0
S15_8-10	ES	Clade 4	20	0	0
S1_0-3	AS	Clade 4	20	0	0
S1_6-9	AS	Clade 4	20	0	0
S1_9-12	AS	Clade 4	20	0	0
S2_0-3	AS	Clade 4	20	0	0
S2_12-15	AS	Clade 4	20	0	0
S2_3-6	AS	Clade 4	20	0	0
S3_0-3	NS	Clade 4	20	0	0
S3_6-9	NS	Clade 4	20	0	0
S3_9-12	NS	Clade 4	20	0	0
S4_12-15	AS	Clade 4	20	0	0
S4_9-12	AS	Clade 4	20	0	0
SQ_58_0-4	AS	Clade 4	20	0	0
SQ_58_4-8	AS	Clade 4	20	0	0
SQ_58_8-12	AS	Clade 4	20	0	0
SQ_81_0-4	AS	Clade 4	20	0	0
SQ_81_4-8	AS	Clade 4	20	3017.6885	3.47981830026695
SQ_81_8-12	AS	Clade 4	20	0	0
SY365BB-0-4	IS	Clade 4	20	27266.21137	4.43564072472021
SY365BB-4-8	IS	Clade 4	20	24616.40572	4.39124228332911
SY365BB-8-12	IS	Clade 4	20	106461.19109	5.02719540010937
SY366YB-0-4	IS	Clade 4	20	10585.89498	4.02476860498171
SY366YB-4-8	IS	Clade 4	20	9213.93352	3.96449220640248
SY366YB-8-12	IS	Clade 4	20	3674.43586	3.56530884828243
SY366YW-0-4	IS	Clade 4	20	28376.18735	4.45296934746716
SY366YW-4-8	IS	Clade 4	20	0	0
SY366YW-8-12	IS	Clade 4	20	54564.82602	4.73692073395885
SY368YW-0-4	IS	Clade 4	20	31950.3243	4.50448886325383
SY368YW-4-8	IS	Clade 4	20	23046.28698	4.36261980959718
SY368YW-8-12	IS	Clade 4	20	51796.32494	4.71430733129358
SY456YB-0-4	IS	Clade 4	20	103846.07002	5.01639424769734
SY456YB-4-8	IS	Clade 4	20	35191.60019	4.54645135568006
SY456YB-8-12	IS	Clade 4	20	222728.89958	5.3477785212594
SY457BB-0-4	IS	Clade 4	20	76132.00164	4.88157295274077
SY457BB-4-8	IS	Clade 4	20	147502.19252	5.16880142017055
SY457BB-8-12	IS	Clade 4	20	209665.71297	5.32152948663632
SY459WG-0-4	IS	Clade 4	20	86817.01371	4.93860984548961
SY459WG-4-8	IS	Clade 4	20	54443.28476	4.73595229681047
SY459WG-8-12	IS	Clade 4	20	15187.170986	4.1815054777131
