sample_habitat	final_clade	final_clade_name	research_category	feature_name	source_type	n_samples	n_unique_MAG	total_host_TPM_all_samples	mean_total_host_TPM_per_sample	median_total_host_TPM_per_sample	mean_functional_host_TPM_50_per_sample	n_samples_host_detected	sample_host_detection_prevalence_pct	sample_functional_detection_prevalence_50_pct	abundance_weighted_score_pct	dual_MAG_excluded	reference_bias_note	score_aggregation_note	plot_label	prevalence_plot	weighted_score_plot
AS	Clade 1	Canonical AioA-associated	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	14	3	185744.43406	13267.4595757143	6950.408	2385.40575714286	12	85.7142857142857	21.4285714285714	11.9158596808003	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	21.4285714285714	11.9158596808003
AS	Clade 1	Canonical AioA-associated	Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	14	3	185744.43406	13267.4595757143	6950.408	2385.40575714286	12	85.7142857142857	21.4285714285714	43.6526432801334	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | Glycolysis, core module involving three-carbon compounds	21.4285714285714	43.6526432801334
AS	Clade 1	Canonical AioA-associated	Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	14	3	185744.43406	13267.4595757143	6950.408	10882.0538185714	12	85.7142857142857	78.5714285714286	76.1682806383994	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Nitrate assimilation	78.5714285714286	76.1682806383994
AS	Clade 1	Canonical AioA-associated	Nitrogen	Urea cycle	Previous algorithm: distinct-gene set coverage	14	3	185744.43406	13267.4595757143	6950.408	13267.4595757143	12	85.7142857142857	85.7142857142857	53.9719532269334	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Urea cycle	85.7142857142857	53.9719532269334
AS	Clade 1	Canonical AioA-associated	Sulfur	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Previous algorithm: distinct-gene set coverage	14	3	185744.43406	13267.4595757143	6950.408	10882.0538185714	12	85.7142857142857	78.5714285714286	53.7383258054856	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Sulfur | Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	78.5714285714286	53.7383258054856
AS	Clade 2	Unknown/uncertain DMSOR	Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	14	7	244009.87353	17429.2766807143	0	6081.96742142857	6	42.8571428571429	42.8571428571429	45.6040477739555	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Nitrate assimilation	42.8571428571429	45.6040477739555
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	14	19	1085232.09192	77516.5779942857	51799.19093	57249.8145978571	12	85.7142857142857	85.7142857142857	63.2123415882189	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Arsenic | Arsenate detoxification/resistance (arsC) marker carriage	85.7142857142857	63.2123415882189
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	14	19	1085232.09192	77516.5779942857	51799.19093	79.7583	12	85.7142857142857	7.14285714285714	0.0846280644621381	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Arsenic | Respiratory arsenate reduction (arrA) marker carriage	7.14285714285714	0.0846280644621381
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	79.7583	12	85.7142857142857	7.14285714285714	12.4119126645989	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	7.14285714285714	12.4119126645989
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	183.185335714286	12	85.7142857142857	7.14285714285714	27.1618797713538	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	7.14285714285714	27.1618797713538
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	50725.7954442857	12	85.7142857142857	78.5714285714286	43.3608843030277	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | Glycolysis, core module involving three-carbon compounds	78.5714285714286	43.3608843030277
