source_sheet	research_category	feature_name	gene_id
N	Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	K00192
N	Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	K00193
N	Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	K00194
N	Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	K00195
N	Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	K00197
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00024
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00025
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00026
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00030
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00031
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00116
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00164
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00174
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00175
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00176
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00177
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00234
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00235
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00236
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00237
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00239
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00240
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00241
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00242
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00244
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00245
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00246
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00247
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00382
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00658
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01647
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01676
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01677
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01678
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01679
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01681
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01682
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01899
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01900
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01902
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01903
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K05942
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K18118
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K18859
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K18860
carbon utilization	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	K00030
carbon utilization	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	K00031
carbon utilization	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	K01647
carbon utilization	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	K01681
carbon utilization	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	K01682
carbon utilization	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	K05942
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00024
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00025
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00026
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00116
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00164
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00174
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00175
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00176
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00177
