family_model	habitat	final_clade	final_clade_name	n_unique_MAG
Rhodobacteraceae	IS	Clade 4	IdrA-associated with DIRM-like synteny	17
Rhodobacteraceae	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	5
Poriferihabitantaceae	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	2
Sedimenticolaceae	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	2
UBA5794	IS	Clade 2	Unknown/uncertain DMSOR	2
Aestuariivirgaceae	IS	Clade 4	IdrA-associated with DIRM-like synteny	1
Balneatricaceae	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	1
Casp-alpha2	IS	Clade 4	IdrA-associated with DIRM-like synteny	1
GCA-001735895	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	1
GCA-2696645	IS	Clade 4	IdrA-associated with DIRM-like synteny	1
HK1	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	1
HK1	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	1
Halomonadaceae	IS	Clade 1	Canonical AioA-associated	1
JAENVV01	IS	Clade 2	Unknown/uncertain DMSOR	1
JAKSDN01	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	1
Moritellaceae	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	1
Poriferisodalaceae	IS	Clade 2	Unknown/uncertain DMSOR	1
Promineifilaceae	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	1
Rhizobiaceae	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	1
SPGG2	NS	Clade 1	Canonical AioA-associated	1
SZUA-229	AS	Clade 1	Canonical AioA-associated	1
SZUA-229	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1
Thiotrichaceae	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	1
UBA5794	AS	Clade 2	Unknown/uncertain DMSOR	1
ZC4RG35	IS	Clade 2	Unknown/uncertain DMSOR	1
ZC4RG35	NS	Clade 2	Unknown/uncertain DMSOR	1
