family_model	n_unique_MAG	n_habitats	habitats	n_clades	clades
Rhodobacteraceae	22	1	IS	2	Clade 3;Clade 4
UBA5794	3	2	AS;IS	1	Clade 2
HK1	2	2	ES;IS	1	Clade 3
Poriferihabitantaceae	2	1	IS	1	Clade 3
Sedimenticolaceae	2	1	ES	1	Clade 3
ZC4RG35	2	2	IS;NS	1	Clade 2
Aestuariivirgaceae	1	1	IS	1	Clade 4
Balneatricaceae	1	1	IS	1	Clade 3
Casp-alpha2	1	1	IS	1	Clade 4
GCA-001735895	1	1	ES	1	Clade 3
GCA-2696645	1	1	IS	1	Clade 4
Halomonadaceae	1	1	IS	1	Clade 1
JAENVV01	1	1	IS	1	Clade 2
JAKSDN01	1	1	ES	1	Clade 3
Moritellaceae	1	1	IS	1	Clade 3
Poriferisodalaceae	1	1	IS	1	Clade 2
Promineifilaceae	1	1	ES	1	Clade 3
Rhizobiaceae	1	1	IS	1	Clade 3
SPGG2	1	1	NS	1	Clade 1
SZUA-229	1	1	AS	2	Clade 1;Clade 3
Thiotrichaceae	1	1	IS	1	Clade 3
