MAG	research_category	feature_name	source_type	feature_component_count	components_detected	reconstruction_score_pct	score_ge_50	score_ge_75
C1_12-18_bin19	Motility	Flagellar Assembly (partial 36-KO reconstruction)	Previous algorithm: distinct-gene set coverage	36	23	63.8888888888889	TRUE	FALSE
C1_12-18_bin19	Vitamin B12	Cobalamin biosynthesis, cobinamide => cobalamin	Previous algorithm: distinct-gene set coverage	8	2	25	FALSE	FALSE
C1_12-18_bin19	Vitamin B12	Cobalamin biosynthesis, precorrin2 => cobinamide	Previous algorithm: distinct-gene set coverage	25	2	8	FALSE	FALSE
C1_12-18_bin19	Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	5	0	0	FALSE	FALSE
C1_12-18_bin19	Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	12	0	0	FALSE	FALSE
C1_12-18_bin19	Carbon	Methanogenesis, CO2 => methane	Previous algorithm: distinct-gene set coverage	37	2	5.4054054054054	FALSE	FALSE
C1_12-18_bin19	Carbon	Methanogenesis, acetate => methane	Previous algorithm: distinct-gene set coverage	31	3	9.67741935483871	FALSE	FALSE
C1_12-18_bin19	Carbon	Methanogenesis, methanethiol => methane	Previous algorithm: distinct-gene set coverage	1	0	0	FALSE	FALSE
C1_12-18_bin19	Carbon	Methanogenesis, methanol => methane	Previous algorithm: distinct-gene set coverage	19	2	10.5263157894737	FALSE	FALSE
C1_12-18_bin19	Carbon	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Previous algorithm: distinct-gene set coverage	23	2	8.69565217391304	FALSE	FALSE
C1_12-18_bin19	Carbon	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Previous algorithm: distinct-gene set coverage	10	2	20	FALSE	FALSE
C1_12-18_bin19	Carbon	Reductive citrate cycle (Arnon-Buchanan cycle)	Previous algorithm: distinct-gene set coverage	43	15	34.8837209302326	FALSE	FALSE
C1_12-18_bin19	Nitrogen	Assimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	6	0	0	FALSE	FALSE
C1_12-18_bin19	Nitrogen	Complete nitrification, comammox, ammonia => nitrite => nitrate	Previous algorithm: distinct-gene set coverage	6	1	16.6666666666667	FALSE	FALSE
C1_12-18_bin19	Nitrogen	Denitrification, nitrate => nitrogen	Previous algorithm: distinct-gene set coverage	11	5	45.4545454545455	FALSE	FALSE
C1_12-18_bin19	Nitrogen	Dissimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	9	6	66.6666666666667	TRUE	FALSE
C1_12-18_bin19	Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	1	1	100	TRUE	TRUE
C1_12-18_bin19	Nitrogen	Nitrification, ammonia => nitrite	Previous algorithm: distinct-gene set coverage	8	1	12.5	FALSE	FALSE
C1_12-18_bin19	Nitrogen	Nitrogen fixation, nitrogen => ammonia	Previous algorithm: distinct-gene set coverage	8	0	0	FALSE	FALSE
C1_12-18_bin19	Nitrogen	nitrite + ammonia => nitrogen	Previous algorithm: distinct-gene set coverage	9	2	22.2222222222222	FALSE	FALSE
C1_12-18_bin19	Sulfur	Assimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	10	2	20	FALSE	FALSE
C1_12-18_bin19	Sulfur	Dissimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	7	5	71.4285714285714	TRUE	FALSE
C1_12-18_bin19	Sulfur	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Previous algorithm: distinct-gene set coverage	7	3	42.8571428571429	FALSE	FALSE
C1_12-18_bin19	Nitrogen	Urea cycle	Previous algorithm: distinct-gene set coverage	6	3	50	TRUE	FALSE
C1_12-18_bin19	Nitrogen	Urea transport system	Previous algorithm: distinct-gene set coverage	5	0	0	FALSE	FALSE
C1_12-18_bin19	Sulfur	Sulfate/thiosulfate transport system	Previous algorithm: distinct-gene set coverage	5	0	0	FALSE	FALSE
C1_12-18_bin19	Sulfur	Sulfonate transport system	Previous algorithm: distinct-gene set coverage	3	2	66.6666666666667	TRUE	FALSE
C1_12-18_bin19	Vitamin B12	Cobalamin salvage	Previous algorithm: distinct-gene set coverage	4	1	25	FALSE	FALSE
C1_12-18_bin19	Vitamin B12	Vitamin B12 transport system	Previous algorithm: distinct-gene set coverage	3	0	0	FALSE	FALSE
C1_12-18_bin19	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	40	13	32.5	FALSE	FALSE
C1_12-18_bin19	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	6	1	16.6666666666667	FALSE	FALSE
C1_12-18_bin19	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	34	12	35.2941176470588	FALSE	FALSE
C1_12-18_bin19	Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	29	10	34.4827586206897	FALSE	FALSE
C1_12-18_bin19	Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	12	7	58.3333333333333	TRUE	FALSE
C1_12-18_bin19	Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	17	8	47.0588235294118	FALSE	FALSE
C1_12-18_bin19	Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	Previous algorithm: distinct-gene set coverage	11	6	54.5454545454545	TRUE	FALSE
C1_12-18_bin19	Carbon	TCA /Reductive TCA	Previous algorithm: distinct-gene set coverage	1	0	0	FALSE	FALSE
C1_12-18_bin24	Motility	Flagellar Assembly (partial 36-KO reconstruction)	Previous algorithm: distinct-gene set coverage	36	0	0	FALSE	FALSE
C1_12-18_bin24	Vitamin B12	Cobalamin biosynthesis, cobinamide => cobalamin	Previous algorithm: distinct-gene set coverage	8	1	12.5	FALSE	FALSE
C1_12-18_bin24	Vitamin B12	Cobalamin biosynthesis, precorrin2 => cobinamide	Previous algorithm: distinct-gene set coverage	25	4	16	FALSE	FALSE
C1_12-18_bin24	Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	5	0	0	FALSE	FALSE
C1_12-18_bin24	Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	12	0	0	FALSE	FALSE
C1_12-18_bin24	Carbon	Methanogenesis, CO2 => methane	Previous algorithm: distinct-gene set coverage	37	3	8.10810810810811	FALSE	FALSE
C1_12-18_bin24	Carbon	Methanogenesis, acetate => methane	Previous algorithm: distinct-gene set coverage	31	5	16.1290322580645	FALSE	FALSE
C1_12-18_bin24	Carbon	Methanogenesis, methanethiol => methane	Previous algorithm: distinct-gene set coverage	1	0	0	FALSE	FALSE
C1_12-18_bin24	Carbon	Methanogenesis, methanol => methane	Previous algorithm: distinct-gene set coverage	19	3	15.7894736842105	FALSE	FALSE
C1_12-18_bin24	Carbon	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Previous algorithm: distinct-gene set coverage	23	4	17.3913043478261	FALSE	FALSE
C1_12-18_bin24	Carbon	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Previous algorithm: distinct-gene set coverage	10	1	10	FALSE	FALSE
C1_12-18_bin24	Carbon	Reductive citrate cycle (Arnon-Buchanan cycle)	Previous algorithm: distinct-gene set coverage	43	15	34.8837209302326	FALSE	FALSE
C1_12-18_bin24	Nitrogen	Assimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	6	0	0	FALSE	FALSE
C1_12-18_bin24	Nitrogen	Complete nitrification, comammox, ammonia => nitrite => nitrate	Previous algorithm: distinct-gene set coverage	6	0	0	FALSE	FALSE
C1_12-18_bin24	Nitrogen	Denitrification, nitrate => nitrogen	Previous algorithm: distinct-gene set coverage	11	2	18.1818181818182	FALSE	FALSE
C1_12-18_bin24	Nitrogen	Dissimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	9	1	11.1111111111111	FALSE	FALSE
C1_12-18_bin24	Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	1	0	0	FALSE	FALSE
C1_12-18_bin24	Nitrogen	Nitrification, ammonia => nitrite	Previous algorithm: distinct-gene set coverage	8	0	0	FALSE	FALSE
C1_12-18_bin24	Nitrogen	Nitrogen fixation, nitrogen => ammonia	Previous algorithm: distinct-gene set coverage	8	0	0	FALSE	FALSE
