research_category	feature_name	source_type	habitat	final_clade	final_clade_name	n_sequence_memberships	n_unique_MAG	mean_reconstruction_score_pct	prevalence_score_ge_50_pct	prevalence_score_ge_75_pct	inference_allowed	plot_label	x_numeric	y_numeric
Arsenic	Arsenate-reduction marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Arsenic | Arsenate-reduction marker carriage	1	7
Arsenic	Arsenate-reduction marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	0	0	0	TRUE	Arsenic | Arsenate-reduction marker carriage	1	7
Arsenic	Arsenate-reduction marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	66.6666666666667	66.6666666666667	66.6666666666667	TRUE	Arsenic | Arsenate-reduction marker carriage	1	7
Arsenic	Arsenate-reduction marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	85	85	85	TRUE	Arsenic | Arsenate-reduction marker carriage	1	7
Arsenic	Arsenate-reduction marker carriage	Independent non-focal arsenic HMM-marker carriage	AS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Arsenic | Arsenate-reduction marker carriage	2	7
Arsenic	Arsenate-reduction marker carriage	Independent non-focal arsenic HMM-marker carriage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE	Arsenic | Arsenate-reduction marker carriage	2	7
Arsenic	Arsenate-reduction marker carriage	Independent non-focal arsenic HMM-marker carriage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	0	0	0	FALSE	Arsenic | Arsenate-reduction marker carriage	2	7
Arsenic	Arsenate-reduction marker carriage	Independent non-focal arsenic HMM-marker carriage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	50	50	50	TRUE	Arsenic | Arsenate-reduction marker carriage	3	7
Arsenic	Arsenate-reduction marker carriage	Independent non-focal arsenic HMM-marker carriage	NS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Arsenic | Arsenate-reduction marker carriage	4	7
Arsenic	Arsenate-reduction marker carriage	Independent non-focal arsenic HMM-marker carriage	NS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE	Arsenic | Arsenate-reduction marker carriage	4	7
Arsenic	Arsenite-oxidation marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Arsenic | Arsenite-oxidation marker carriage	1	6
