MAG	research_category	feature_name	source_type	feature_component_count	components_detected	reconstruction_score_pct	score_ge_50	score_ge_75	quality_habitat	completeness	contamination	score_semantics	completeness_adjustment_factor	completeness_adjusted_score_pct	raw_ge_50	adjusted_ge_50	threshold_flip_50	raw_ge_75	adjusted_ge_75	threshold_flip_75	adjustment_note
C1_12-18_bin19	Motility	Flagellar Assembly (partial 36-KO reconstruction)	Previous algorithm: distinct-gene set coverage	36	23	63.8888888888889	TRUE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	71.3125224789473	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Vitamin B12	Cobalamin biosynthesis, cobinamide => cobalamin	Previous algorithm: distinct-gene set coverage	8	2	25	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	27.9049001004576	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Vitamin B12	Cobalamin biosynthesis, precorrin2 => cobinamide	Previous algorithm: distinct-gene set coverage	25	2	8	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	8.92956803214645	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	5	0	0	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	12	0	0	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Methanogenesis, CO2 => methane	Previous algorithm: distinct-gene set coverage	37	2	5.4054054054054	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	6.03349191361246	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Methanogenesis, acetate => methane	Previous algorithm: distinct-gene set coverage	31	3	9.67741935483871	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	10.8018968130804	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Methanogenesis, methanethiol => methane	Previous algorithm: distinct-gene set coverage	1	0	0	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Methanogenesis, methanol => methane	Previous algorithm: distinct-gene set coverage	19	2	10.5263157894737	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	11.7494316212453	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Previous algorithm: distinct-gene set coverage	23	2	8.69565217391304	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	9.70605220885483	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
