research_category	feature_name	source_type	score_semantics	habitat	final_clade	final_clade_name	n_unique_MAG	completeness_mean	completeness_median	mean_raw_score_pct	mean_completeness_adjusted_score_pct	mean_score_delta_pct	raw_prevalence_ge_50_pct	adjusted_prevalence_ge_50_pct	prevalence_ge_50_delta_pct	raw_prevalence_ge_75_pct	adjusted_prevalence_ge_75_pct	prevalence_ge_75_delta_pct
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	AS	Clade 1	Canonical AioA-associated	1	70.14	70.14	0	0	0	0	0	0	0	0	0
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	AS	Clade 2	Unknown/uncertain DMSOR	1	51.44	51.44	0	0	0	0	0	0	0	0	0
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	70.14	70.14	0	0	0	0	0	0	0	0	0
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	70.235	71.215	50	50	0	50	50	0	50	50	0
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	IS	Clade 1	Canonical AioA-associated	1	98.59	98.59	0	0	0	0	0	0	0	0	0
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	IS	Clade 2	Unknown/uncertain DMSOR	5	69.596	65.87	0	0	0	0	0	0	0	0	0
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	78.9958333333333	82.715	58.3333333333333	58.3333333333333	0	58.3333333333333	58.3333333333333	0	58.3333333333333	58.3333333333333	0
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	89.293	95.11	85	85	0	85	85	0	85	85	0
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	NS	Clade 1	Canonical AioA-associated	1	78.27	78.27	0	0	0	0	0	0	0	0	0
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	NS	Clade 2	Unknown/uncertain DMSOR	1	79.77	79.77	0	0	0	0	0	0	0	0	0
Arsenic	Arsenite oxidation (arxA/aioA) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	AS	Clade 1	Canonical AioA-associated	1	70.14	70.14	0	0	0	0	0	0	0	0	0
Arsenic	Arsenite oxidation (arxA/aioA) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	AS	Clade 2	Unknown/uncertain DMSOR	1	51.44	51.44	0	0	0	0	0	0	0	0	0
Arsenic	Arsenite oxidation (arxA/aioA) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	70.14	70.14	0	0	0	0	0	0	0	0	0
Arsenic	Arsenite oxidation (arxA/aioA) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	70.235	71.215	0	0	0	0	0	0	0	0	0
Arsenic	Arsenite oxidation (arxA/aioA) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	IS	Clade 1	Canonical AioA-associated	1	98.59	98.59	0	0	0	0	0	0	0	0	0
Arsenic	Arsenite oxidation (arxA/aioA) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	IS	Clade 2	Unknown/uncertain DMSOR	5	69.596	65.87	0	0	0	0	0	0	0	0	0
