research_category	feature_name	source_type	score_semantics	n_MAG	mean_raw_score_pct	mean_completeness_adjusted_score_pct	mean_score_delta_pct	n_MAG_score_changed	n_MAG_threshold_flip_50	n_MAG_threshold_flip_75	spearman_score_vs_completeness_rho	spearman_score_vs_completeness_p	spearman_score_vs_completeness_BH
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	48	56.25	56.25	0	0	0	0	0.334976547884547	0.0199496770754266	0.0410728645670548
Arsenic	Arsenite oxidation (arxA/aioA) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	48	0	0	0	0	0	0	NA	NA	NA
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	48	6.25	6.25	0	0	0	0	0.145997235397675	0.322098782694418	0.373390328915598
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	0	0	0	0	0	0	NA	NA	NA
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	32.1354166666667	40.0220305239189	7.8866138572522	48	6	0	0.604589808083364	5.34169807133954e-06	6.65794807558269e-05
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	27.4305555555555	33.4081507206542	5.97759516509861	43	2	0	0.532443383902096	9.80473905523123e-05	0.000389496966250178
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	32.9656862745098	41.1891857833185	8.22349950880872	48	9	0	0.56143207574679	3.30296012740193e-05	0.000289009011147669
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	27.5862068965517	34.8782565272677	7.29204963071596	48	2	0	0.60543201259952	5.14135003224369e-06	6.65794807558269e-05
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	45.1388888888889	57.1917117287488	12.05282283986	48	11	6	0.547907251538238	5.55639529543258e-05	0.000347739559510382
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	28.5539215686274	36.1257838458472	7.57186227721978	46	7	1	0.173041124469699	0.239530812850122	0.289088912060492
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	1.04166666666667	1.08532470384309	0.0436580371764245	3	0	0	0.232090306410516	0.112434881546608	0.171096558875273
Carbon	Methanogenesis, CO2 => methane	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	1.63288288288288	2.26843866185771	0.635555778974825	12	0	0	-0.245309975267743	0.0928514504472937	0.162490038282764
Carbon	Methanogenesis, acetate => methane	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	5.64516129032258	7.15978722349292	1.51462593317034	43	0	0	0.14344626966934	0.330717148468101	0.373390328915598
Carbon	Methanogenesis, methanethiol => methane	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	0	0	0	0	0	0	NA	NA	NA
Carbon	Methanogenesis, methanol => methane	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	2.30263157894737	3.12829780289686	0.825666223949493	10	0	0	-0.127097732603228	0.389322668474957	0.425821668644485
Carbon	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	4.89130434782609	6.35507656912082	1.46377222129474	39	0	0	0.045403992092342	0.759274050149912	0.759274050149912
Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	34.280303030303	42.1961954963934	7.91589246609033	46	9	1	0.498440623103241	0.000311598037959713	0.000838917794506921
Carbon	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	22.5	27.1631268835544	4.66312688355435	44	2	0	0.546032784567309	5.96124959160654e-05	0.000347739559510382
Carbon	Reductive citrate cycle (Arnon-Buchanan cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	29.4089147286822	37.0989441099537	7.69002938127154	48	4	0	0.437112949647468	0.00189322920130577	0.00414143887785638
Carbon	TCA /Reductive TCA	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	10.4166666666667	10.4166666666667	0	0	0	0	0.105843181093229	0.473998526591211	0.502725710020982
Motility	Flagellar Assembly (partial 36-KO reconstruction)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	31.4814814814815	36.6450251471907	5.16354366570919	30	3	5	0.535275837917304	8.85432253852337e-05	0.000389496966250178
