research_category	feature_name	source_type	score_semantics	model_status	n_MAG	design_rank	design_columns	rank_deficient	completeness_slope_per_10pct	completeness_p	completeness_BH	interpretation_limit
Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	5.30216207769243	0.264345169109556	0.357952439134693	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Arsenic	Arsenite oxidation (arxA/aioA) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	invariant outcome	47	NA	NA	NA	NA	NA	NA	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	binary marker carriage	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	2.68423552703516	0.366863326404746	0.442766083591934	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	invariant outcome	47	NA	NA	NA	NA	NA	NA	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	2.18218861981738	0.0075191596232615	0.0292411763126836	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	3.85511231304863	0.00323895640050856	0.0188939123362999	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	1.88696679160009	0.0365778012103121	0.0925044104328687	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	1.52636334872562	0.0025413436837559	0.0183414093844638	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	2.10991816403446	0.00883271341223194	0.0309144969428118	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	0.963463971747625	0.596100408907776	0.662148571496887	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	0.859657819907858	0.155733442142836	0.286877393421014	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Methanogenesis, CO2 => methane	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	0.185958218357604	0.605392979654296	0.662148571496887	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Methanogenesis, acetate => methane	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	0.558309806043992	0.23190771813657	0.338198755615832	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Methanogenesis, methanethiol => methane	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	invariant outcome	47	NA	NA	NA	NA	NA	NA	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
