source_sheet	research_category	feature_name	gene_id	identifier_type	represented_in_KO_result_catalog	denominator_treatment	annotation_source	annotation_reference
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00025	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00026	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00234	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00235	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00236	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K00237	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01681	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01899	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	K01900	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	K01681	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00025	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00026	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00234	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00235	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00236	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00237	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K01899	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K01900	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	K08074	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	K12406	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	K12407	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Glycolysis, core module involving three-carbon compounds	K12406	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
N	Carbon	Methane oxidation, methanotroph, methane => formaldehyde	K17066	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
carbon utilization	Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	K13997	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
N	Carbon	Reductive citrate cycle (Arnon-Buchanan cycle)	K01681	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
N	Nitrogen	Assimilatory nitrate reduction, nitrate => ammonia	K10534	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
N	Nitrogen	Assimilatory nitrate reduction, nitrate => ammonia	K17877	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
N	Nitrogen	Denitrification, nitrate => nitrogen	K15877	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
Organic Nitrogen	Nitrogen	Urea cycle	K01948	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
N	Arsenic	Arsenate	EC:1.20.4.1	non-KO	FALSE	Legacy arsenic set excluded; replaced by independent HMM-marker rows	IUBMB/ENZYME: ArsC-type arsenate reductase (glutathione/glutaredoxin); detoxification	https://enzyme.expasy.org/EC/1.20.4.1
N	Arsenic	Arsenate	EC:1.20.99.1	non-KO	FALSE	Legacy arsenic set excluded; replaced by independent HMM-marker rows	IUBMB/ENZYME: ArrA-type arsenate reductase (donor); respiratory marker	https://enzyme.expasy.org/EC/1.20.99.1
MISC	Vitamin B12	Cobalamin biosynthesis, precorrin2 => cobinamide	K02304	KO	FALSE	Included in predefined gene-set denominator	Legacy predefined gene-set table; absent from current KO result catalog	NA
