MAG	source_sheet	research_category	feature_name	legacy_component_count	legacy_components_detected	legacy_score_pct	definition_records	unavailable_definition_records	distinct_unavailable_identifiers	unavailable_identifiers	catalog_compatible_component_count	catalog_compatible_components_detected	catalog_compatible_score_pct	unavailable_definition_pct	score_delta_pct	score_changed	legacy_ge_50	catalog_compatible_ge_50	threshold_flip_50	legacy_ge_75	catalog_compatible_ge_75	threshold_flip_75
C1_12-18_bin19	N	Nitrogen	Denitrification, nitrate => nitrogen	11	5	45.4545454545455	11	1	1	K15877	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
C2_12-18_bin11	carbon utilization	Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	11	5	45.4545454545455	11	1	1	K13997	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
C2_12-18_bin17	Organic Nitrogen	Nitrogen	Urea cycle	6	4	66.6666666666667	6	1	1	K01948	5	4	80	16.6666666666667	13.3333333333333	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
R2111_S300_0-10_bin19	Organic Nitrogen	Nitrogen	Urea cycle	6	4	66.6666666666667	6	1	1	K01948	5	4	80	16.6666666666667	13.3333333333333	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
R2111_S300_0-10_bin19	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	17	42.5	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	17	54.8387096774194	22.5	12.3387096774194	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
R2111_S300_0-10_bin19	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	14	41.1764705882353	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	14	53.8461538461538	23.5294117647059	12.6696832579185	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
S1_9-12_bin1	N	Nitrogen	Denitrification, nitrate => nitrogen	11	5	45.4545454545455	11	1	1	K15877	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY365BB-0-4_bin24	carbon utilization	Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	11	5	45.4545454545455	11	1	1	K13997	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY365BB-8-12_bin10	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	17	42.5	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	17	54.8387096774194	22.5	12.3387096774194	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY365BB-8-12_bin10	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	15	44.1176470588235	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	15	57.6923076923077	23.5294117647059	13.5746606334842	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY365BB-8-12_bin26	Organic Nitrogen	Nitrogen	Urea cycle	6	4	66.6666666666667	6	1	1	K01948	5	4	80	16.6666666666667	13.3333333333333	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
SY366YW-0-4_bin34	Organic Nitrogen	Nitrogen	Urea cycle	6	4	66.6666666666667	6	1	1	K01948	5	4	80	16.6666666666667	13.3333333333333	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
SY366YW-0-4_bin34	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	18	45	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	18	58.0645161290323	22.5	13.0645161290323	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY366YW-0-4_bin34	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	15	44.1176470588235	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	15	57.6923076923077	23.5294117647059	13.5746606334842	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY366YW-0-4_bin34	carbon utilization	Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	11	5	45.4545454545455	11	1	1	K13997	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY366YW-0-4_bin9	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	16	40	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	16	51.6129032258064	22.5	11.6129032258064	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY366YW-0-4_bin9	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	14	41.1764705882353	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	14	53.8461538461538	23.5294117647059	12.6696832579185	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY366YW-4-8_bin7	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	18	45	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	18	58.0645161290323	22.5	13.0645161290323	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY366YW-4-8_bin7	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	15	44.1176470588235	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	15	57.6923076923077	23.5294117647059	13.5746606334842	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY366YW-8-12_bin2	Organic Nitrogen	Nitrogen	Urea cycle	6	4	66.6666666666667	6	1	1	K01948	5	4	80	16.6666666666667	13.3333333333333	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
SY366YW-8-12_bin2	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	13	38.2352941176471	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	13	50	23.5294117647059	11.7647058823529	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY366YW-8-12_bin2	carbon utilization	Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	11	5	45.4545454545455	11	1	1	K13997	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY368YW-4-8_bin24	Organic Nitrogen	Nitrogen	Urea cycle	6	4	66.6666666666667	6	1	1	K01948	5	4	80	16.6666666666667	13.3333333333333	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
SY368YW-8-12_bin33	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	16	40	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	16	51.6129032258064	22.5	11.6129032258064	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY368YW-8-12_bin33	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	14	41.1764705882353	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	14	53.8461538461538	23.5294117647059	12.6696832579185	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY456YB-0-4_bin8	N	Nitrogen	Denitrification, nitrate => nitrogen	11	5	45.4545454545455	11	1	1	K15877	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY456YB-0-4_bin8	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	17	42.5	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	17	54.8387096774194	22.5	12.3387096774194	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY456YB-0-4_bin8	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	15	44.1176470588235	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	15	57.6923076923077	23.5294117647059	13.5746606334842	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY456YB-8-12_bin27	N	Nitrogen	Denitrification, nitrate => nitrogen	11	5	45.4545454545455	11	1	1	K15877	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY456YB-8-12_bin27	Organic Nitrogen	Nitrogen	Urea cycle	6	4	66.6666666666667	6	1	1	K01948	5	4	80	16.6666666666667	13.3333333333333	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
SY456YB-8-12_bin34	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	13	38.2352941176471	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	13	50	23.5294117647059	11.7647058823529	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY456YB-8-12_bin4	carbon utilization	Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	11	5	45.4545454545455	11	1	1	K13997	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-0-4_bin6	N	Nitrogen	Denitrification, nitrate => nitrogen	11	5	45.4545454545455	11	1	1	K15877	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-0-4_bin6	Organic Nitrogen	Nitrogen	Urea cycle	6	4	66.6666666666667	6	1	1	K01948	5	4	80	16.6666666666667	13.3333333333333	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
SY457BB-0-4_bin6	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	17	42.5	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	17	54.8387096774194	22.5	12.3387096774194	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-0-4_bin6	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	15	44.1176470588235	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	15	57.6923076923077	23.5294117647059	13.5746606334842	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-4-8_bin29	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	14	41.1764705882353	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	14	53.8461538461538	23.5294117647059	12.6696832579185	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-4-8_bin33	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	17	42.5	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	17	54.8387096774194	22.5	12.3387096774194	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-4-8_bin33	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	15	44.1176470588235	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	15	57.6923076923077	23.5294117647059	13.5746606334842	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-8-12_bin10	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	14	41.1764705882353	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	14	53.8461538461538	23.5294117647059	12.6696832579185	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-8-12_bin15	N	Nitrogen	Denitrification, nitrate => nitrogen	11	5	45.4545454545455	11	1	1	K15877	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-8-12_bin15	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	17	42.5	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	17	54.8387096774194	22.5	12.3387096774194	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-8-12_bin15	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	15	44.1176470588235	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	15	57.6923076923077	23.5294117647059	13.5746606334842	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-8-12_bin16	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	17	42.5	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	17	54.8387096774194	22.5	12.3387096774194	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-8-12_bin16	carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	15	44.1176470588235	34	8	8	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900	26	15	57.6923076923077	23.5294117647059	13.5746606334842	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY457BB-8-12_bin25	Organic Nitrogen	Nitrogen	Urea cycle	6	4	66.6666666666667	6	1	1	K01948	5	4	80	16.6666666666667	13.3333333333333	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
SY459WG-8-12_bin19	N	Carbon	Reductive citrate cycle (Arnon-Buchanan cycle)	43	21	48.8372093023256	43	1	1	K01681	42	21	50	2.32558139534884	1.16279069767442	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY459WG-8-12_bin19	Organic Nitrogen	Nitrogen	Urea cycle	6	4	66.6666666666667	6	1	1	K01948	5	4	80	16.6666666666667	13.3333333333333	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
SY459WG-8-12_bin19	carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	19	47.5	40	9	9	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900	31	19	61.2903225806452	22.5	13.7903225806452	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SY459WG-8-12_bin2	N	Nitrogen	Denitrification, nitrate => nitrogen	11	5	45.4545454545455	11	1	1	K15877	10	5	50	9.09090909090909	4.54545454545455	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
