source_sheet	research_category	feature_name	definition_records	records_represented_in_KO_result_catalog	unavailable_definition_records	distinct_unavailable_identifiers	maximum_attainable_coverage_pct_in_current_KO_catalog	unavailable_identifiers
MISC	Vitamin B12	Cobalamin biosynthesis, precorrin2 => cobinamide	25	24	1	1	96	K02304
N	Arsenic	Arsenate	2	0	2	2	0	EC:1.20.4.1;EC:1.20.99.1
N	Carbon	Methane oxidation, methanotroph, methane => formaldehyde	12	11	1	1	91.6666666666667	K17066
N	Carbon	Reductive citrate cycle (Arnon-Buchanan cycle)	43	42	1	1	97.6744186046512	K01681
N	Nitrogen	Assimilatory nitrate reduction, nitrate => ammonia	6	4	2	2	66.6666666666667	K10534;K17877
N	Nitrogen	Denitrification, nitrate => nitrogen	11	10	1	1	90.9090909090909	K15877
Organic Nitrogen	Nitrogen	Urea cycle	6	5	1	1	83.3333333333333	K01948
carbon utilization	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	40	31	9	9	77.5	K00025;K00026;K00234;K00235;K00236;K00237;K01681;K01899;K01900
carbon utilization	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	6	5	1	1	83.3333333333333	K01681
carbon utilization	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	34	26	8	8	76.4705882352941	K00025;K00026;K00234;K00235;K00236;K00237;K01899;K01900
carbon utilization	Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	29	26	3	3	89.6551724137931	K08074;K12406;K12407
carbon utilization	Carbon	Glycolysis, core module involving three-carbon compounds	12	11	1	1	91.6666666666667	K12406
carbon utilization	Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	11	10	1	1	90.9090909090909	K13997
