research_category	feature_name	source_type	habitat	final_clade	final_clade_name	n_sequence_memberships	n_unique_MAG	mean_reconstruction_score_pct	prevalence_score_ge_50_pct	prevalence_score_ge_75_pct	inference_allowed
Arsenic	Arsenate reduction	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	IS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE
Arsenic	Arsenate reduction	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	IS	Clade 2	Unknown/uncertain DMSOR	5	5	0	0	0	TRUE
Arsenic	Arsenate reduction	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	33.3333333333333	66.6666666666667	0	TRUE
Arsenic	Arsenate reduction	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	47.5	85	10	TRUE
Arsenic	Arsenate reduction	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	AS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE
Arsenic	Arsenate reduction	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	AS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE
Arsenic	Arsenate reduction	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	0	0	0	FALSE
Arsenic	Arsenate reduction	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	25	50	0	TRUE
Arsenic	Arsenate reduction	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	NS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE
Arsenic	Arsenate reduction	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	NS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE
Arsenic	Arsenite oxidation	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	IS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE
Arsenic	Arsenite oxidation	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	IS	Clade 2	Unknown/uncertain DMSOR	5	5	0	0	0	TRUE
Arsenic	Arsenite oxidation	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	0	0	0	TRUE
Arsenic	Arsenite oxidation	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	0	0	0	TRUE
Arsenic	Arsenite oxidation	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	AS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE
Arsenic	Arsenite oxidation	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	AS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE
Arsenic	Arsenite oxidation	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	0	0	0	FALSE
Arsenic	Arsenite oxidation	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	0	0	0	TRUE
Arsenic	Arsenite oxidation	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	NS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE
Arsenic	Arsenite oxidation	Previous algorithm: arsenic HMM-component coverage; focal K08356 excluded	NS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	0	0	0	TRUE
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	0	0	0	TRUE
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	0	0	0	TRUE
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	0	0	0	FALSE
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	0	0	0	TRUE
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	1	45	0	0	FALSE
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	22	0	0	TRUE
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	33.3333333333333	0	0	TRUE
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	36.75	5	0	TRUE
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	1	15	0	0	FALSE
