"sample.id","group"
"C1_0-6","ES"
"C1_12-18","ES"
"C1_6-12","ES"
"C2_0-6","ES"
"C2_12-18","ES"
"C2_6-12","ES"
"C3_0-6","ES"
"C3_12-18","ES"
"C3_6-12","ES"
"ES_2_0-6","ES"
"NS_0-6","NS"
"R2111_N300_0-10","NS"
"R2111_N500_0-10","NS"
"R2111_S300_0-10","NS"
"R2111_S500_0-10","NS"
"S1_0-3","AS"
"S13_0-2","ES"
"S14_4-6","ES"
"S15_8-10","ES"
"S1_6-9","AS"
"S1_9-12","AS"
"S2_0-3","AS"
"S2_12-15","AS"
"S2_3-6","AS"
"S3_0-3","NS"
"S3_6-9","NS"
"S3_9-12","NS"
"S4_12-15","AS"
"S4_9-12","AS"
"SQ_58_0-4","AS"
"SQ_58_4-8","AS"
"SQ_58_-8-12","AS"
"SQ_81_0-4","AS"
"SQ_81_4-8","AS"
"SQ_81_-8-12","AS"
"SY365BB-0-4","IS"
"SY365BB-4-8","IS"
"SY365BB-8-12","IS"
"SY366YB-0-4","IS"
"SY366YB-4-8","IS"
"SY366YB-8-12","IS"
"SY366YW-0-4","IS"
"SY366YW-4-8","IS"
"SY366YW-8-12","IS"
"SY368YW-0-4","IS"
"SY368YW-4-8","IS"
"SY368YW-8-12","IS"
"SY456YB-0-4","IS"
"SY456YB-4-8","IS"
"SY456YB-8-12","IS"
"SY457YW-0-4","IS"
"SY457YW-4-8","IS"
"SY457YW-8-12","IS"
"SY459YW-0-4","IS"
"SY459YW-4-8","IS"
"SY459YW-8-12","IS"
