"","Sample","Site","Type","Group"
"C1_0-6","C1_0-6","C1","Seawater","ES"
"C1_12-18","C1_12-18","C1","Seawater","ES"
"C1_6-12","C1_6-12","C1","Seawater","ES"
"C2_0-6","C2_0-6","C2","Seawater","ES"
"C2_12-18","C2_12-18","C2","Seawater","ES"
"C2_6-12","C2_6-12","C2","Seawater","ES"
"C3_0-6","C3_0-6","C3","Seawater","ES"
"C3_12-18","C3_12-18","C3","Seawater","ES"
"C3_6-12","C3_6-12","C3","Seawater","ES"
"ES_2_0-6","ES_2_0-6","ES","Sediment","ES"
"NS_0-6","NS_0-6","NS","Seawater","NS"
"R2111_N300_0-10","R2111_N300_0-10","R2111","Seawater","NS"
"R2111_N500_0-10","R2111_N500_0-10","R2111","Seawater","NS"
"R2111_S300_0-10","R2111_S300_0-10","R2111","Seawater","NS"
"R2111_S500_0-10","R2111_S500_0-10","R2111","Seawater","NS"
"S1_0-3","S1_0-3","S1","Seawater","AS"
"S13_0-2","S13_0-2","S13","Seawater","ES"
"S14_4-6","S14_4-6","S14","Seawater","ES"
"S15_8-10","S15_8-10","S15","Seawater","ES"
"S1_6-9","S1_6-9","S1","Seawater","AS"
"S1_9-12","S1_9-12","S1","Seawater","AS"
"S2_0-3","S2_0-3","S2","Seawater","AS"
"S2_12-15","S2_12-15","S2","Seawater","AS"
"S2_3-6","S2_3-6","S2","Seawater","AS"
"S3_0-3","S3_0-3","S3","Seawater","NS"
"S3_6-9","S3_6-9","S3","Seawater","NS"
"S3_9-12","S3_9-12","S3","Seawater","NS"
"S4_12-15","S4_12-15","S4","Seawater","AS"
"S4_9-12","S4_9-12","S4","Seawater","AS"
"SQ_58_0-4","SQ_58_0-4","SQ","Sediment","AS"
"SQ_58_4-8","SQ_58_4-8","SQ","Sediment","AS"
"SQ_58_-8-12","SQ_58_-8-12","SQ","Seawater","AS"
"SQ_81_0-4","SQ_81_0-4","SQ","Sediment","AS"
"SQ_81_4-8","SQ_81_4-8","SQ","Sediment","AS"
"SQ_81_-8-12","SQ_81_-8-12","SQ","Seawater","AS"
"SY365BB-0-4","SY365BB-0-4","SY365BB-0-4","Seawater","IS"
"SY365BB-4-8","SY365BB-4-8","SY365BB-4-8","Seawater","IS"
"SY365BB-8-12","SY365BB-8-12","SY365BB-8-12","Seawater","IS"
"SY366YB-0-4","SY366YB-0-4","SY366YB-0-4","Seawater","IS"
"SY366YB-4-8","SY366YB-4-8","SY366YB-4-8","Seawater","IS"
"SY366YB-8-12","SY366YB-8-12","SY366YB-8-12","Seawater","IS"
"SY366YW-0-4","SY366YW-0-4","SY366YW-0-4","Seawater","IS"
"SY366YW-4-8","SY366YW-4-8","SY366YW-4-8","Seawater","IS"
"SY366YW-8-12","SY366YW-8-12","SY366YW-8-12","Seawater","IS"
"SY368YW-0-4","SY368YW-0-4","SY368YW-0-4","Seawater","IS"
"SY368YW-4-8","SY368YW-4-8","SY368YW-4-8","Seawater","IS"
"SY368YW-8-12","SY368YW-8-12","SY368YW-8-12","Seawater","IS"
"SY456YB-0-4","SY456YB-0-4","SY456YB-0-4","Seawater","IS"
"SY456YB-4-8","SY456YB-4-8","SY456YB-4-8","Seawater","IS"
"SY456YB-8-12","SY456YB-8-12","SY456YB-8-12","Seawater","IS"
"SY457YW-0-4","SY457YW-0-4","SY457YW-0-4","Seawater","IS"
"SY457YW-4-8","SY457YW-4-8","SY457YW-4-8","Seawater","IS"
"SY457YW-8-12","SY457YW-8-12","SY457YW-8-12","Seawater","IS"
"SY459YW-0-4","SY459YW-0-4","SY459YW-0-4","Seawater","IS"
"SY459YW-4-8","SY459YW-4-8","SY459YW-4-8","Seawater","IS"
"SY459YW-8-12","SY459YW-8-12","SY459YW-8-12","Seawater","IS"
