target_gene_id,MAG_id,branch,habitat,sample_group,sample_id,target_contig,neighbor_orf_id,contig_id,relative_position,strand,start,end,KO,product,function_class,function_label,is_target,source_remote_orf_path
S1_9-12_bin1-k141_675749_2,S1_9-12_bin1,IdrA-associated,AS,S1,S1_9-12,k141_675749,k141_675749_1,k141_675749,-1,+,17,619,K08355,arsenite oxidase small subunit,Rieske/AioB,AioB,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S1_9-12_bin1-k141_675749_2,S1_9-12_bin1,IdrA-associated,AS,S1,S1_9-12,k141_675749,k141_675749_2,k141_675749,0,+,629,2842,K08356,arsenite oxidase large subunit,Target IdrA-like K08356,IdrA,True,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S13_0-2_bin3-k141_1059512_3,S13_0-2_bin3,IdrA-associated,ES,S13,S13_0-2,k141_1059512,k141_1059512_1,k141_1059512,-2,+,3,746,K00428,cytochrome c peroxidase,Cytochrome/peroxidase,cyt,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S13_0-2_bin3-k141_1059512_3,S13_0-2_bin3,IdrA-associated,ES,S13,S13_0-2,k141_1059512,k141_1059512_2,k141_1059512,-1,+,743,1288,K08355,arsenite oxidase small subunit,Rieske/AioB,AioB,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S13_0-2_bin3-k141_1059512_3,S13_0-2_bin3,IdrA-associated,ES,S13,S13_0-2,k141_1059512,k141_1059512_3,k141_1059512,0,+,1301,3430,K08356,arsenite oxidase large subunit,Target IdrA-like K08356,IdrA,True,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S15_8-10_bin20-k141_2063280_11,S15_8-10_bin20,IdrA-associated,ES,S15,S15_8-10,k141_2063280,k141_2063280_1,k141_2063280,-10,-,2,418,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S15_8-10_bin20-k141_2063280_11,S15_8-10_bin20,IdrA-associated,ES,S15,S15_8-10,k141_2063280,k141_2063280_2,k141_2063280,-9,-,408,1367,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S15_8-10_bin20-k141_2063280_11,S15_8-10_bin20,IdrA-associated,ES,S15,S15_8-10,k141_2063280,k141_2063280_3,k141_2063280,-8,-,1631,2101,K03775,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S15_8-10_bin20-k141_2063280_11,S15_8-10_bin20,IdrA-associated,ES,S15,S15_8-10,k141_2063280,k141_2063280_4,k141_2063280,-7,+,2652,3800,K02005,HlyD family secretion protein,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S15_8-10_bin20-k141_2063280_11,S15_8-10_bin20,IdrA-associated,ES,S15,S15_8-10,k141_2063280,k141_2063280_5,k141_2063280,-6,+,3800,4489,K02003,putative ABC transport system ATP-binding protein,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S15_8-10_bin20-k141_2063280_11,S15_8-10_bin20,IdrA-associated,ES,S15,S15_8-10,k141_2063280,k141_2063280_6,k141_2063280,-5,+,4479,5681,K02004,putative ABC transport system permease protein,Transporter,transporter,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
