tree_label	candidate_id	source	gene_id	relative_gene_position	relative_bp_start	relative_bp_end	strand	plot_label	neighborhood_structure_class	strict_synteny_QC_pass	annotation
IS|SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24-k141_346659_3	GFF+DRAM annotation	SY365BB-0-4_bin24_SY365BB-0-4_bin24-k141_346659_1	-2	-2111	-1974	+	other annotated CDS	partial DIRM-like neighborhood	no	rank: E
IS|SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24-k141_346659_3	joint reference search + strict-QC	SY365BB-0-4_bin24_SY365BB-0-4_bin24-k141_346659_2	-1	-1977	-1357	+	IdrB/AioB-related small subunit	partial DIRM-like neighborhood	no	rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
IS|SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24-k141_346659_3	focal MAG candidate + GFF	SY365BB-0-4_bin24_SY365BB-0-4_bin24-k141_346659_3	0	-1354	1354	+	AioA/IdrA-related A	partial DIRM-like neighborhood	no	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
IS|SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24-k141_346659_3	GFF+DRAM annotation	SY365BB-0-4_bin24_SY365BB-0-4_bin24-k141_346659_4	1	1522	1812	+	other annotated CDS	partial DIRM-like neighborhood	no	rank: D; Transcriptional activator HlyU [PF10115.14] (db=pfam)
IS|SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24-k141_346659_3	GFF+DRAM annotation	SY365BB-0-4_bin24_SY365BB-0-4_bin24-k141_346659_5	2	2024	2251	-	other annotated CDS	partial DIRM-like neighborhood	no	rank: E
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_22	-10	-11782	-11480	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_23	-9	-11228	-11106	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_24	-8	-11092	-9335	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7] (db=kegg)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_25	-7	-9338	-8205	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_26	-6	-8195	-5919	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Ethylbenzene dehydrogenase [PF09459.15]; Cytochrome C oxidase, cbb3-type, subunit III [PF13442.11]; Cytochrome c [PF00034.26] (db=pfam)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_27	-5	-5844	-5329	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_28	-4	-5332	-4571	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	joint reference search + strict-QC	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_29	-3	-4238	-3120	+	P-like	complete DIRM-like neighborhood	yes	rank: C; cytochrome c peroxidase [EC:1.11.1.5] (db=kegg)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	joint reference search + strict-QC	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_30	-2	-3105	-1954	+	P-like	complete DIRM-like neighborhood	yes	rank: C; cytochrome c peroxidase [EC:1.11.1.5] (db=kegg)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	joint reference search + strict-QC	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_31	-1	-1933	-1352	+	IdrB/AioB-related small subunit	complete DIRM-like neighborhood	yes	rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	focal MAG candidate + GFF	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_32	0	-1339	1339	+	AioA/IdrA-related A	complete DIRM-like neighborhood	yes	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
