class	accession	source_tree_header	source_tree_file	fetch_status	failure_reason	cds_header	cds_length_nt	protein_length_aa	cds_sha256	protein_sha256
DmsA	YFJ11581.1	DmsA|YFJ11581.1 dimethyl sulfoxide reductase subunit A [Escherichia coli]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CP123059.1_cds_YFJ11581.1_1 [gene=ynfF] [locus_tag=P6N33_11285] [protein=dimethyl sulfoxide reductase subunit A] [protein_id=YFJ11581.1] [location=2343523..2345946] [gbkey=CDS]	2424	807	2ecaf24cab4a3047443aa65cc7f582d8d7f00efa42380f842230c916557a5fb7	42caadd5774b3da7d8f2c89f872b3d75260972cbdcf4706a550be0a23abdc431
DmsA	YFJ11314.1	DmsA|YFJ11314.1 dimethyl sulfoxide reductase subunit A [Escherichia coli]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CP123059.1_cds_YFJ11314.1_1 [gene=ynfE] [locus_tag=P6N33_11280] [protein=dimethyl sulfoxide reductase subunit A] [protein_id=YFJ11314.1] [location=2341036..2343462] [gbkey=CDS]	2427	808	203febe7c02e55ccfb72c589d8a8db302776c985fac6a6fef0bcbf8c886b1f8b	f2c3b8dbd9abf30b59fdbd3438030343ff98514f7fd4d66a7aa47306bda634c3
DmsA	YFI95743.1	DmsA|YFI95743.1 dimethyl sulfoxide reductase subunit A [Klebsiella pneumoniae]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CP099461.1_cds_YFI95743.1_1 [locus_tag=NFX51_13480] [protein=dimethyl sulfoxide reductase subunit A] [protein_id=YFI95743.1] [location=2730858..2733293] [gbkey=CDS]	2436	811	fde9eebeb11c673c388912c3947082edc9afbafe2a2d7030985b7c92a21b7070	dde33684638a92046b0fdc115e2b17f7e8cac76c329f89e7ded57cfe6be5ffb6
DmsA	QJU87116.1	DmsA|QJU87116.1 dimethyl sulfoxide reductase subunit A [Salmonella enterica subsp. enterica serovar Infantis]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CP052778.1_cds_QJU87116.1_1 [locus_tag=FT196_012505] [protein=dimethyl sulfoxide reductase subunit A] [protein_id=QJU87116.1] [location=2569093..2571528] [gbkey=CDS]	2436	811	8337a58b409b0b3cd9f98c2d56a7635e538cfbaa650e5c4894110810c5e16708	166a2b70441748c50661d8bcf7b35b4cd2588b729e56a6e5cc96ec50defda273
DmsA	QJU87115.1	DmsA|QJU87115.1 dimethyl sulfoxide reductase subunit A [Salmonella enterica subsp. enterica serovar Infantis]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	FAIL	translation_mismatch	lcl|CP052778.1_cds_QJU87115.1_1 [locus_tag=FT196_012500] [protein=dimethyl sulfoxide reductase subunit A] [protein_id=QJU87115.1] [location=2566553..2568994] [gbkey=CDS]	2442	813	4639d47a39c64c97ae626ae5615a192d86618d060afc606c53540e33547e0215	d304594d7163f335b5958403fbed31d8bf7f2ee3c4411d2cefd56c824959251e
DmsA	YFA62202.1	DmsA|YFA62202.1 dimethyl sulfoxide reductase subunit A [Klebsiella pneumoniae]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CP122990.1_cds_YFA62202.1_1 [locus_tag=QEN70_04550] [protein=dimethyl sulfoxide reductase subunit A] [protein_id=YFA62202.1] [location=complement(951094..953529)] [gbkey=CDS]	2436	811	12c9b29cec17f189b466e57f8baa8483d84d94833e60bef0eea218176f5e4212	4557c1052e44645ac95381362a606ca07d120c28517fc161669df0952c8ddd03
DmsA	YFA28898.1	DmsA|YFA28898.1 dimethyl sulfoxide reductase subunit A [Klebsiella pneumoniae]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CP122992.1_cds_YFA28898.1_1 [locus_tag=QEN69_13770] [protein=dimethyl sulfoxide reductase subunit A] [protein_id=YFA28898.1] [location=2837561..2839996] [gbkey=CDS]	2436	811	e358c50b461ea6b319a707cc5001ee708e2bbfcd96a93e000949d961419664a1	287fc4821da9ecc1c8f99e22ddd01f54766bc061fd77c6cc4f9cf499f386cd39
NapA	CAQ1807241.1	NapA|CAQ1807241.1 Periplasmic nitrate reductase [Wolinella sp.]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CEVHDO010000067.1_cds_CAQ1807241.1_1 [locus_tag=HMCMC_BJFNOD_00802] [protein=Periplasmic nitrate reductase] [protein_id=CAQ1807241.1] [location=complement(3415..6204)] [gbkey=CDS]	2790	929	04516cc6a762704fd65d1573eec50de79de69ef2b12d561f077898e1ac305599	1b3e8ee361cfdbc2d30dde8ac55886bb25f501ff42183f19f44a8ae85035b984
NapA	CAR3344515.1	NapA|CAR3344515.1 Periplasmic nitrate reductase [Dongiaceae bacterium]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CEWRWE010000080.1_cds_CAR3344515.1_1 [locus_tag=HMCMC_KAMGIK_03538] [protein=Periplasmic nitrate reductase] [protein_id=CAR3344515.1] [location=3308..5812] [gbkey=CDS]	2505	834	f252addf09435b2455b4e746c26381572bebb2f5ba03d9a14e268b849fb8a257	c66d9dd022af2f7d177824ba116801c5bf1581701bf15f2ce2ed85a8aaf08857
NapA	CAR3120326.1	NapA|CAR3120326.1 Periplasmic nitrate reductase [Dongiaceae bacterium]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CEWROI010000527.1_cds_CAR3120326.1_1 [locus_tag=HMCMC_CLFPAH_00648] [protein=Periplasmic nitrate reductase] [protein_id=CAR3120326.1] [location=1458..3953] [gbkey=CDS]	2496	831	a849a9a981ff086fb820b2956ba1a0ab79117023d48040ed633abe06bef3bf2c	5278f052f16d55cf8236b2060bd5acef5a2a95609ee3802a264e213f2ebb95bc
