Sequence_ID	MAG_ID	Habitat	Sample_group	Combined_score	IdrA_score	AioA_score	IdrA_minus_AioA	Combined_640_pass	HMM_direction	Tree_clade	Bootstrap_support	nearest_reference	nearest_reference_family	tree_distance	gene_neighborhood	idrB_present	idrP1_present	idrP2_present	aioB_present	Final_class	Confidence	Evidence_summary	Conflict_flags	target_annotation	neighborhood_notes	Previous_Final_class	Previous_Confidence	B_related_hit	B_related_similarity_or_tree_clade	P_like_count	P_like_hit_ids	gene_order	strand_consistency	neighborhood_completeness	neighborhood_class	synteny_supported_DIRM	strict_synteny_QC_pass	strict_synteny_QC_fail_reasons	A_gene_coordinates	B_gene_coordinates	P_like_1_coordinates	P_like_2_coordinates	classification_update	Joint_reference_evidence_summary
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	ES	C1	958.5	1383.4	436.6	946.8	Yes	IdrA-HMM higher	IdrA-associated		VibritapetIdrA	IdrA	0.562236	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=VibritapetIdrA (IdrA); neighborhood=aioB/aio-like neighborhood	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-6:rank: D; 2-phospho-L-lactate transferase CofD [PF01933.23] (db=pfam); -1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 3:rank: C; intracellular septation protein (db=kegg)	IdrA-associated	Medium	C1_12-18_bin19_C1_12-18_bin19-k141_2550623_10	IdrB_related	2	C1_12-18_bin19_C1_12-18_bin19-k141_2550623_8;C1_12-18_bin19_C1_12-18_bin19-k141_2550623_9	P1like8(+)-P2like9(+)-B10(+)-A11(+)	P1like:+;P2like:+;B:+;A:+	overlapping_support_gene_coordinates	partial DIRM-like neighborhood	no	no	overlapping_support_gene_coordinates	10205-12898(+)	9616-10191(+)	7251-8357(+)	8372-9616(+)	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: overlapping_support_gene_coordinates.
C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24	ES	C1	788.2	1133.1	352.5	780.6	Yes	IdrA-HMM higher	IdrA-associated	79.1/100	VibritapetIdrA	IdrA	0.465926	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=VibritapetIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=79.1/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	C1_12-18_bin24_C1_12-18_bin24-k141_2459344_1	IdrB_related	0		B1(+)-A2(+)	B:+;A:+	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	428-2548(+)	1-417(+)	-()	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa.
C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	ES	C2	935.5	1304.0	448.5	855.5	Yes	IdrA-HMM higher	IdrA-associated	100/100	RuegerinterIdrA	IdrA	0.90848	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=100/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	C2_12-18_bin11_C2_12-18_bin11-k141_1404867_1	IdrB_related	0		B1(+)-A2(+)	B:+;A:+	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	340-3063(+)	3-332(+)	-()	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa.
C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17	ES	C2	923.9	1321.0	436.6	884.4	Yes	IdrA-HMM higher	IdrA-associated	93.8/100	SulfuriverfontisIdrA	IdrA	0.807237	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=SulfuriverfontisIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=93.8/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	C2_12-18_bin17_C2_12-18_bin17-k141_1448372_2	IdrB_related	1	C2_12-18_bin17_C2_12-18_bin17-k141_1448372_3	A1(-)-B2(-)-P1like3(-)	A:-;B:-;P1like:-	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	2-2542(-)	2627-3184(-)	3185-4417(-)	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa.
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	NS	R2111_S300	969.5	463.6	1006.4	-542.8	Yes	AioA-HMM higher	AioA-associated	72/86	ChloroflexauraAioA	AioA	1.118106	aioB/aio-like neighborhood	No	No	No	Yes	canonical AioA-associated	High	AioA-HMM higher; tree=canonical AioA-associated; nearest_ref=ChloroflexauraAioA (AioA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=72/86		rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	canonical AioA-associated	High	R2111_S300_0-10_bin19_R2111_S300_0-10_bin19-k141_825759_7	canonical_AioB	0		A6(-)-B7(-)	A:-;B:-	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	Aio-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	5705-8194(-)	8198-8704(-)	-()	-()	retained_canonical_AioA_Aio_like_neighborhood	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (Aio-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa.
S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3	AS	S13	928.9	1364.4	395.6	968.8	Yes	IdrA-HMM higher	IdrA-associated	99.6/100	RhodophyporphyIdrA	IdrA	0.255872	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RhodophyporphyIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=99.6/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	S13_0-2_bin3_S13_0-2_bin3-k141_1059512_2	IdrB_related	1	S13_0-2_bin3_S13_0-2_bin3-k141_1059512_1	P1like1(+)-B2(+)-A3(+)	P1like:+;B:+;A:+	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	1301-3430(+)	743-1288(+)	3-746(+)	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa.
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	AS	S15	961.7	1376.8	445.3	931.5	Yes	IdrA-HMM higher	IdrA-associated		VibritapetIdrA	IdrA	0.587648	no idrB/idrP1/idrP2/aioB detected in DRAM +/-10 annotations	No	No	No	No	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=VibritapetIdrA (IdrA); neighborhood=no idrB/idrP1/idrP2/aioB detected in DRAM +/-10 annotations	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-6:rank: C; putative ABC transport system ATP-binding protein (db=kegg); -5:rank: C; putative ABC transport system permease protein (db=kegg); -4:rank: C; putative ABC transport system permease protein (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium			0		A11(-)	A:-	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	unresolved/truncated neighborhood	no	no	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	9811-12504(-)	-()	-()	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (unresolved/truncated neighborhood); reasons: missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3.
S1_9-12_bin1-k141_637215_2	S1_9-12_bin1	AS	S1	1087.1	365.8	1204.3	-838.5	Yes	AioA-HMM higher	AioA-associated	93.5/100	AmphriatlanAioA	AioA	0.357062	aioB/aio-like neighborhood	No	No	No	Yes	canonical AioA-associated	High	AioA-HMM higher; tree=canonical AioA-associated; nearest_ref=AmphriatlanAioA (AioA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=93.5/100		rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	canonical AioA-associated	High	S1_9-12_bin1_S1_9-12_bin1-k141_637215_1	canonical_AioB	0		B1(+)-A2(+)	B:+;A:+	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	Aio-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	1613-4084(+)	1070-1588(+)	-()	-()	retained_canonical_AioA_Aio_like_neighborhood	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (Aio-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa.
S1_9-12_bin1-k141_675749_2	S1_9-12_bin1	AS	S1	808.1	1159.3	360.0	799.3	Yes	IdrA-HMM higher	IdrA-associated	93.6/99	VibritapetIdrA	IdrA	0.416113	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=VibritapetIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=93.6/99	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	S1_9-12_bin1_S1_9-12_bin1-k141_675749_1	IdrB_related	0		B1(+)-A2(+)	B:+;A:+	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	629-2842(+)	17-619(+)	-()	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa.
SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4	AS	SQ_58	776.6	855.0	489.3	365.7	Yes	IdrA-HMM higher	Unknown-clade-associated	100/100	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	1.309987	aioB/aio-like neighborhood	No	No	No	Yes	unknown/uncertain DMSOR	Medium	IdrA-HMM higher; tree=Unknown-clade-associated; nearest_ref=ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium (Unknown_clade); neighborhood=aioB/aio-like neighborhood; nearest_node_support=100/100		rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	unknown/uncertain DMSOR	Medium	SQ_58_0-4_bin4_SQ_58_0-4_bin4-k141_1629246_2	IdrB_related	0		B2(+)-A3(+)	B:+;A:+	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	1169-3667(+)	591-1172(+)	-()	-()	retained_unknown_tree_boundary	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa.
