contig_gene	MAG	habitat_in_classification	habitat_in_manifest	habitat_in_sample_metadata	habitat	habitat_assignment_source	classification_habitat_match	manifest_habitat_match
S1_9-12_bin1-k141_637215_2	S1_9-12_bin1	AS	AS	AS	AS	corrected sample metadata	TRUE	TRUE
SY366YW-4-8_bin7-k141_14765_13	SY366YW-4-8_bin7	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	NS	NS	NS	NS	corrected sample metadata	TRUE	TRUE
SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY366YW-0-4_bin34-k141_1276861_15	SY366YW-0-4_bin34	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY457BB-0-4_bin35-k141_455312_8	SY457BB-0-4_bin35	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY459WG-8-12_bin2-k141_281775_92	SY459WG-8-12_bin2	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3	AS	ES	ES	ES	corrected sample metadata	FALSE	TRUE
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	AS	ES	ES	ES	corrected sample metadata	FALSE	TRUE
S1_9-12_bin1-k141_675749_2	S1_9-12_bin1	AS	AS	AS	AS	corrected sample metadata	TRUE	TRUE
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	ES	ES	ES	ES	corrected sample metadata	TRUE	TRUE
C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24	ES	ES	ES	ES	corrected sample metadata	TRUE	TRUE
C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	ES	ES	ES	ES	corrected sample metadata	TRUE	TRUE
C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17	ES	ES	ES	ES	corrected sample metadata	TRUE	TRUE
SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY365BB-8-12_bin7-k141_1337394_7	SY365BB-8-12_bin7	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY366YB-0-4_bin3-k141_281514_2	SY366YB-0-4_bin3	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY368YW-4-8_bin24-k141_617455_9	SY368YW-4-8_bin24	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY459WG-4-8_bin8-k141_320908_36	SY459WG-4-8_bin8	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4	AS	AS	AS	AS	corrected sample metadata	TRUE	TRUE
SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
SY459WG-4-8_bin39-k141_681176_50	SY459WG-4-8_bin39	IS	IS	IS	IS	corrected sample metadata	TRUE	TRUE
