protein_id	combined_bitscore	combined_evalue	idrA_bitscore	idrA_evalue	aioA_bitscore	aioA_evalue	idrA_minus_aioA	hmm_score_note
IS|SY365BB-0-4_bin24-k141_346659_3	996.1	3.7e-302	1460.6	0.0	438.7	1e-133	1021.9	idrA_model_higher
IS|SY365BB-8-12_bin10-k141_688982_32	989.9	2.7e-300	1395.5	0.0	454.5	1.7e-138	941.0	idrA_model_higher
IS|SY365BB-8-12_bin26-k141_1297159_20	1000.0	2.5e-303	1398.0	0.0	463.9	2.4e-141	934.1	idrA_model_higher
IS|SY365BB-8-12_bin7-k141_1337394_7	1029.6	0.0	1537.7	0.0	442.2	8.6e-135	1095.5	idrA_model_higher
IS|SY365BB-8-12_bin8-k141_832694_5	989.1	4.6e-300	1387.2	0.0	462.6	5.9e-141	924.6	idrA_model_higher
IS|SY366YB-0-4_bin3-k141_281514_2	855.9	8.5e-260	1260.5	0.0	374.4	2.7e-114	886.1	idrA_model_higher
IS|SY366YB-0-4_bin5-k141_98994_2	993.7	1.9e-301	1396.4	0.0	461.2	1.5e-140	935.2	idrA_model_higher
IS|SY366YW-0-4_bin2-k141_1353278_2	783.9	5.1e-238	859.2	8.3e-261	493.2	3.2e-150	366.0	idrA_model_higher
IS|SY366YW-0-4_bin34-k141_1276861_15	961.3	1.2e-291	1373.2	0.0	446.5	4.5e-136	926.7	idrA_model_higher
IS|SY366YW-0-4_bin9-k141_1360848_3	982.0	6.6e-298	1388.8	0.0	456.1	5.4e-139	932.7	idrA_model_higher
IS|SY366YW-4-8_bin7-k141_14765_13	1175.0	0.0	388.4	1.6e-118	1314.7	0.0	-926.3	aioA_model_higher
IS|SY366YW-8-12_bin2-k141_497241_22	995.7	4.7e-302	1391.1	0.0	467.0	2.7e-142	924.1	idrA_model_higher
IS|SY368YW-4-8_bin24-k141_617455_9	1177.5	0.0	1762.1	0.0	486.2	4.4e-148	1275.9	idrA_model_higher
