protein_id	normalized_id	combined_bitscore	combined_evalue
SY368YW-4-8_bin24_SY368YW-4-8_bin24-k141_617455_9	SY368YW-4-8_bin24-k141_617455_9	1177.5	0.0
SY366YW-4-8_bin7_SY366YW-4-8_bin7-k141_14765_13	SY366YW-4-8_bin7-k141_14765_13	1175.0	0.0
S1_9-12_bin1_S1_9-12_bin1-k141_637215_2	S1_9-12_bin1-k141_637215_2	1087.1	0.0
SY365BB-8-12_bin7_SY365BB-8-12_bin7-k141_1337394_7	SY365BB-8-12_bin7-k141_1337394_7	1029.6	0.0
SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	1000.0	6.5e-300
SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	997.1	4.8e-299
SY365BB-0-4_bin24_SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24-k141_346659_3	996.1	9.9e-299
SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	995.7	1.3e-298
SY459WG-0-4_bin37_SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37-k141_569169_31	994.7	2.6e-298
SY457BB-8-12_bin15_SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15-k141_1498167_38	994.3	3.3e-298
SY456YB-8-12_bin34_SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34-k141_963697_76	994.2	3.6e-298
SY366YB-0-4_bin5_SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5-k141_98994_2	993.7	5.2e-298
SY457BB-8-12_bin16_SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16-k141_1142550_1	992.4	1.3e-297
SY457BB-8-12_bin4_SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4-k141_1432391_5	991.0	3.3e-297
SY457BB-8-12_bin25_SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25-k141_129537_12	990.7	4.2e-297
SY456YB-0-4_bin8_SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8-k141_492248_42	990.0	6.5e-297
SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	989.9	7.2e-297
SY457BB-0-4_bin6_SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6-k141_196093_82	989.2	1.1e-296
SY457BB-4-8_bin33_SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33-k141_110702_26	989.2	1.2e-296
SY365BB-8-12_bin8_SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8-k141_832694_5	989.1	1.2e-296
SY459WG-8-12_bin2_SY459WG-8-12_bin2-k141_281775_92	SY459WG-8-12_bin2-k141_281775_92	988.4	2e-296
SY456YB-8-12_bin5_SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5-k141_222164_2	988.2	2.3e-296
SY368YW-8-12_bin33_SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33-k141_1103131_193	987.6	3.5e-296
SY457BB-0-4_bin35_SY457BB-0-4_bin35-k141_455312_8	SY457BB-0-4_bin35-k141_455312_8	982.4	1.3e-294
SY457BB-4-8_bin29_SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29-k141_12975_7	982.2	1.6e-294
SY366YW-0-4_bin9_SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9-k141_1360848_3	982.0	1.7e-294
SY457BB-8-12_bin10_SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10-k141_377897_3	981.5	2.5e-294
SY459WG-8-12_bin19_SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19-k141_364478_5	978.8	1.7e-293
SY456YB-8-12_bin4_SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4-k141_708485_189	972.3	1.5e-291
R2111_S300_0-10_bin19_R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19-k141_825759_6	969.5	1.1e-290
SY457BB-0-4_bin2_SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2-k141_509701_9	965.1	2.2e-289
SY456YB-4-8_bin24_SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24-k141_314185_12	963.4	7.2e-289
S15_8-10_bin20_S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20-k141_2063280_11	961.7	2.5e-288
