tree_label	source_svg_tree_label	habitat_label_status	clade_display	clade_color	Sequence_ID	MAG_ID	Habitat	Sample_group	Final_class	Confidence	Tree_clade	nearest_reference	nearest_reference_family	Combined_score	IdrA_score	AioA_score	IdrA_minus_AioA	neighborhood_class	strict_synteny_QC_pass	strict_synteny_QC_fail_reasons	gene_order
AS|S1_9-12_bin1-k141_637215_2	AS|S1_9-12_bin1-k141_637215_2	match	Canonical AioA	#009E73	S1_9-12_bin1-k141_637215_2	S1_9-12_bin1	AS	S1	canonical AioA-associated	High	AioA-associated	AmphriatlanAioA	AioA	1087.1	365.8	1204.3	-838.5	Aio-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	B1(+)-A2(+)
IS|SY366YW-4-8_bin7-k141_14765_13	IS|SY366YW-4-8_bin7-k141_14765_13	match	Canonical AioA	#009E73	SY366YW-4-8_bin7-k141_14765_13	SY366YW-4-8_bin7	IS	SY366YW	canonical AioA-associated	High	AioA-associated	HalomonbolivieAioA	AioA	1175.0	388.4	1314.7	-926.3	Aio-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	B12(+)-A13(+)
NS|R2111_S300_0-10_bin19-k141_825759_6	NS|R2111_S300_0-10_bin19-k141_825759_6	match	Canonical AioA	#009E73	R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	NS	R2111_S300	canonical AioA-associated	High	AioA-associated	ChloroflexauraAioA	AioA	969.5	463.6	1006.4	-542.8	Aio-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	A6(-)-B7(-)
IS|SY365BB-8-12_bin10-k141_688982_32	IS|SY365BB-8-12_bin10-k141_688982_32	match	DIRM-synteny IdrA	#7B3294	SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	IS	SY365BB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	989.9	1395.5	454.5	941.0	complete DIRM-like neighborhood	yes		P1like29(+)-P2like30(+)-B31(+)-A32(+)
IS|SY365BB-8-12_bin26-k141_1297159_20	IS|SY365BB-8-12_bin26-k141_1297159_20	match	DIRM-synteny IdrA	#7B3294	SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26	IS	SY365BB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	1000.0	1398.0	463.9	934.1	complete DIRM-like neighborhood	yes		P1like17(+)-P2like18(+)-B19(+)-A20(+)
IS|SY365BB-8-12_bin8-k141_832694_5	IS|SY365BB-8-12_bin8-k141_832694_5	match	DIRM-synteny IdrA	#7B3294	SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8	IS	SY365BB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	989.1	1387.2	462.6	924.6	complete DIRM-like neighborhood	yes		P1like2(+)-P2like3(+)-B4(+)-A5(+)
IS|SY366YW-0-4_bin34-k141_1276861_15	IS|SY366YW-0-4_bin34-k141_1276861_15	match	DIRM-synteny IdrA	#7B3294	SY366YW-0-4_bin34-k141_1276861_15	SY366YW-0-4_bin34	IS	SY366YW	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	961.3	1373.2	446.5	926.7	complete DIRM-like neighborhood	yes		A15(-)-B16(-)-P1like17(-)-P2like18(-)
IS|SY366YW-0-4_bin9-k141_1360848_3	IS|SY366YW-0-4_bin9-k141_1360848_3	match	DIRM-synteny IdrA	#7B3294	SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9	IS	SY366YW	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	982.0	1388.8	456.1	932.7	complete DIRM-like neighborhood	yes		A3(-)-B4(-)-P1like5(-)-P2like6(-)
IS|SY366YW-8-12_bin2-k141_497241_22	IS|SY366YW-8-12_bin2-k141_497241_22	match	DIRM-synteny IdrA	#7B3294	SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2	IS	SY366YW	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	995.7	1391.1	467.0	924.1	complete DIRM-like neighborhood	yes		A22(-)-B23(-)-P1like24(-)-P2like25(-)
IS|SY368YW-8-12_bin33-k141_1103131_193	IS|SY368YW-8-12_bin33-k141_1103131_193	match	DIRM-synteny IdrA	#7B3294	SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33	IS	SY368YW	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	987.6	1382.6	461.4	921.2	complete DIRM-like neighborhood	yes		A193(-)-B194(-)-P1like195(-)-P2like196(-)
IS|SY456YB-0-4_bin8-k141_492248_42	IS|SY456YB-0-4_bin8-k141_492248_42	match	DIRM-synteny IdrA	#7B3294	SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8	IS	SY456YB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	990.0	1395.7	454.9	940.8	complete DIRM-like neighborhood	yes		A42(-)-B43(-)-P1like44(-)-P2like45(-)
IS|SY456YB-8-12_bin27-k141_1029503_28	IS|SY456YB-8-12_bin27-k141_1029503_28	match	DIRM-synteny IdrA	#7B3294	SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27	IS	SY456YB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	997.1	1395.5	461.9	933.6	complete DIRM-like neighborhood	yes		A28(-)-B29(-)-P1like30(-)-P2like31(-)
IS|SY456YB-8-12_bin34-k141_963697_76	IS|SY456YB-8-12_bin34-k141_963697_76	match	DIRM-synteny IdrA	#7B3294	SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34	IS	SY456YB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	994.2	1396.5	464.0	932.5	complete DIRM-like neighborhood	yes		P1like73(+)-P2like74(+)-B75(+)-A76(+)
IS|SY456YB-8-12_bin4-k141_708485_189	IS|SY456YB-8-12_bin4-k141_708485_189	match	DIRM-synteny IdrA	#7B3294	SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4	IS	SY456YB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	972.3	1373.4	447.0	926.4	complete DIRM-like neighborhood	yes		P1like186(+)-P2like187(+)-B188(+)-A189(+)
IS|SY457BB-0-4_bin35-k141_455312_8	IS|SY457BB-0-4_bin35-k141_455312_8	match	DIRM-synteny IdrA	#7B3294	SY457BB-0-4_bin35-k141_455312_8	SY457BB-0-4_bin35	IS	SY457BB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	982.4	1399.6	455.5	944.1	complete DIRM-like neighborhood	yes		P1like4(+)-P2like6(+)-B7(+)-A8(+)
IS|SY457BB-0-4_bin6-k141_196093_82	IS|SY457BB-0-4_bin6-k141_196093_82	match	DIRM-synteny IdrA	#7B3294	SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6	IS	SY457BB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	989.2	1391.3	463.4	927.9	complete DIRM-like neighborhood	yes		P1like79(+)-P2like80(+)-B81(+)-A82(+)
IS|SY457BB-4-8_bin29-k141_12975_7	IS|SY457BB-4-8_bin29-k141_12975_7	match	DIRM-synteny IdrA	#7B3294	SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29	IS	SY457BB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	982.2	1383.8	450.2	933.6	complete DIRM-like neighborhood	yes		P1like4(+)-P2like5(+)-B6(+)-A7(+)
IS|SY457BB-4-8_bin33-k141_110702_26	IS|SY457BB-4-8_bin33-k141_110702_26	match	DIRM-synteny IdrA	#7B3294	SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33	IS	SY457BB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	989.2	1390.6	467.3	923.3	complete DIRM-like neighborhood	yes		A26(-)-B27(-)-P1like28(-)-P2like29(-)
IS|SY457BB-8-12_bin15-k141_1498167_38	IS|SY457BB-8-12_bin15-k141_1498167_38	match	DIRM-synteny IdrA	#7B3294	SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15	IS	SY457BB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	994.3	1395.4	462.7	932.7	complete DIRM-like neighborhood	yes		A38(-)-B39(-)-P1like40(-)-P2like41(-)
IS|SY457BB-8-12_bin25-k141_129537_12	IS|SY457BB-8-12_bin25-k141_129537_12	match	DIRM-synteny IdrA	#7B3294	SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25	IS	SY457BB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	990.7	1388.8	462.2	926.6	complete DIRM-like neighborhood	yes		P1like9(+)-P2like10(+)-B11(+)-A12(+)
