candidate_id	contig_id	A_gene_id	A_start	A_end	A_strand	A_partial	B_hit_id	B_start	B_end	B_strand	B_partial	B_ref_family	B_reference_hit	B_bitscore	B_qcov_pct	P_like_1_id	P_like_1_start	P_like_1_end	P_like_1_strand	P_like_1_partial	P_like_1_reference_hit	P_like_1_bitscore	P_like_1_qcov_pct	P_like_2_id	P_like_2_start	P_like_2_end	P_like_2_strand	P_like_2_partial	P_like_2_reference_hit	P_like_2_bitscore	P_like_2_qcov_pct	relative_gene_order	strand_pattern	distinct_P_like_count	same_contig	maximum_gene_gap	arrow_plot_visible	coordinates_non_overlapping	protein_lengths_reasonable	QC_pass	QC_fail_reasons	strict_neighborhood_class	strict_neighborhood_class_revised
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623	C1_12-18_bin19_C1_12-18_bin19-k141_2550623_11	10205	12898	+	00	C1_12-18_bin19_C1_12-18_bin19-k141_2550623_10	9616	10191	+	00	IdrB_related	IdrB_TIER2|GCA_001715975.1|ODJ89648.1	347	98.96	C1_12-18_bin19_C1_12-18_bin19-k141_2550623_8	7251	8357	+	00	IdrP_like_TIER2|GCA_001715975.1|ODJ89650.1	667	99.73	C1_12-18_bin19_C1_12-18_bin19-k141_2550623_9	8372	9616	+	00	IdrP_like_TIER2|GCA_001715975.1|ODJ89649.1	732	99.76	P1like8(+)-P2like9(+)-B10(+)-A11(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	no	yes	no	overlapping_support_gene_coordinates	partial DIRM-like neighborhood	partial DIRM-like neighborhood
C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24-k141_2459344	C1_12-18_bin24_C1_12-18_bin24-k141_2459344_2	428	2548	+	01	C1_12-18_bin24_C1_12-18_bin24-k141_2459344_1	1	417	+	10	IdrB_related	IdrB_TIER2|GCA_001715975.1|ODJ89648.1	209	97.84																	B1(+)-A2(+)	B:+;A:+	0	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11-k141_1404867	C2_12-18_bin11_C2_12-18_bin11-k141_1404867_2	340	3063	+	00	C2_12-18_bin11_C2_12-18_bin11-k141_1404867_1	3	332	+	10	IdrB_related	IdrB_TIER2|GCA_002725995.1|MBQ62122.1	182	99.09																	B1(+)-A2(+)	B:+;A:+	0	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17-k141_1448372	C2_12-18_bin17_C2_12-18_bin17-k141_1448372_1	2	2542	-	10	C2_12-18_bin17_C2_12-18_bin17-k141_1448372_2	2627	3184	-	00	IdrB_related	IdrB_TIER2|GCA_001801995.1|OGT91842.1	196	96.24	C2_12-18_bin17_C2_12-18_bin17-k141_1448372_3	3185	4417	-	01	IdrP_like_TIER2|GCA_002746185.1|PCJ64245.1	381	82.24									A1(-)-B2(-)-P1like3(-)	A:-;B:-;P1like:-	1	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19-k141_825759	R2111_S300_0-10_bin19_R2111_S300_0-10_bin19-k141_825759_6	5705	8194	-	00	R2111_S300_0-10_bin19_R2111_S300_0-10_bin19-k141_825759_7	8198	8704	-	00	canonical_AioB	AioB_CANONICAL|Q7SIF3|canonical_AioB_reviewed_Alcaligenes_faecalis	145	101.78																	A6(-)-B7(-)	A:-;B:-	0	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	Aio-like neighborhood
S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3-k141_1059512	S13_0-2_bin3_S13_0-2_bin3-k141_1059512_3	1301	3430	+	01	S13_0-2_bin3_S13_0-2_bin3-k141_1059512_2	743	1288	+	00	IdrB_related	IdrB_TIER2|GCA_004126395.1|RXV59292.1	253	100.55	S13_0-2_bin3_S13_0-2_bin3-k141_1059512_1	3	746	+	10	IdrP_like_TIER2|GCA_004126395.1|RXV59293.1	379	98.79									P1like1(+)-B2(+)-A3(+)	P1like:+;B:+;A:+	1	yes	1	yes	no	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20-k141_2063280	S15_8-10_bin20_S15_8-10_bin20-k141_2063280_11	9811	12504	-	00																										A11(-)	A:-	0	yes		yes	yes	no	no	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	unresolved/truncated neighborhood	unresolved/truncated neighborhood
S1_9-12_bin1-k141_637215_2	S1_9-12_bin1-k141_637215	S1_9-12_bin1_S1_9-12_bin1-k141_637215_2	1613	4084	+	00	S1_9-12_bin1_S1_9-12_bin1-k141_637215_1	1070	1588	+	00	canonical_AioB	AioB_LOCAL|GCA_001898645.1|OJX06498.1	203	99.42																	B1(+)-A2(+)	B:+;A:+	0	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	Aio-like neighborhood
S1_9-12_bin1-k141_675749_2	S1_9-12_bin1-k141_675749	S1_9-12_bin1_S1_9-12_bin1-k141_675749_2	629	2842	+	01	S1_9-12_bin1_S1_9-12_bin1-k141_675749_1	17	619	+	00	IdrB_related	IdrB_TIER2|GCA_000785145.2|KHD08441.1	278	93.03																	B1(+)-A2(+)	B:+;A:+	0	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4-k141_1629246	SQ_58_0-4_bin4_SQ_58_0-4_bin4-k141_1629246_3	1169	3667	+	00	SQ_58_0-4_bin4_SQ_58_0-4_bin4-k141_1629246_2	591	1172	+	00	IdrB_related	IdrB_TIER2|GCA_003538055.1|HCX33660.1	151	91.24																	B2(+)-A3(+)	B:+;A:+	0	yes	1	yes	no	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
