MAG	classification	domain	phylum	class	order	family	genus	species	classification_method	note	warnings	msa_percent	source_file	family_model	completeness	contamination	habitat	clade_memberships	n_clade_memberships
C1_12-18_bin19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__JASJBU01;s__	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	JASJBU01	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	91.18	gtdbtk_r226_existing_MAG47_summary.tsv	Sedimenticolaceae	89.59	2.119	ES	Clade 3	1
C1_12-18_bin24	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__GCA-001735895;s__	Bacteria	Pseudomonadota	Gammaproteobacteria	GCA-001735895	GCA-001735895	GCA-001735895	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	43.92	gtdbtk_r226_existing_MAG47_summary.tsv	GCA-001735895	54.44	9.119	ES	Clade 3	1
C2_12-18_bin11	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__HK1;f__HK1;g__JAABYT01;s__JAABYT01 sp009937425	Bacteria	Pseudomonadota	Gammaproteobacteria	HK1	HK1	JAABYT01	JAABYT01 sp009937425	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	62.97	gtdbtk_r226_existing_MAG47_summary.tsv	HK1	73.18	6.127	ES	Clade 3	1
C2_12-18_bin17	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineifilales;f__Promineifilaceae;g__UBA11865;s__	Bacteria	Chloroflexota	Anaerolineae	Promineifilales	Promineifilaceae	UBA11865	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	60.07	gtdbtk_r226_existing_MAG47_summary.tsv	Promineifilaceae	69.25	4.828	ES	Clade 3	1
R2111_N500_0-10_bin13	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__ZC4RG35;g__JAWWBL01;s__	Bacteria	Actinomycetota	Acidimicrobiia	UBA5794	ZC4RG35	JAWWBL01	NA	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	73.47	R2111_N500_0-10_bin13_gtdbtk.bac120.summary.tsv	ZC4RG35	79.77	9.829	NS	Clade 2	1
R2111_S300_0-10_bin19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__SPGG2;g__VRUB01;s__VRUB01 sp019456345	Bacteria	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	SPGG2	VRUB01	VRUB01 sp019456345	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	72.58	gtdbtk_r226_existing_MAG47_summary.tsv	SPGG2	78.27	2.435	NS	Clade 1	1
S13_0-2_bin3	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__JAKSDN01;g__CALJXB01;s__CALJXB01 sp030598385	Bacteria	Pseudomonadota	Alphaproteobacteria	Kiloniellales	JAKSDN01	CALJXB01	CALJXB01 sp030598385	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	Genome has more than 10.0% of markers with multiple hits	43.71	gtdbtk_r226_existing_MAG47_summary.tsv	JAKSDN01	60.57	3.83	ES	Clade 3	1
S15_8-10_bin20	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__;s__	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	NA	NA	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	60.33	gtdbtk_r226_existing_MAG47_summary.tsv	Sedimenticolaceae	74.38	6.238	ES	Clade 3	1
S1_9-12_bin1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	Bacteria	Pseudomonadota	Gammaproteobacteria	SZUA-229	SZUA-229	GCA-2746365	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	Genome has more than 11.7% of markers with multiple hits	53.3	gtdbtk_r226_existing_MAG47_summary.tsv	SZUA-229	70.14	8.777	AS	Clade 1;Clade 3	2
SQ_58_0-4_bin4	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JACZST01;s__	Bacteria	Actinomycetota	Acidimicrobiia	UBA5794	UBA5794	JACZST01	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	28.79	gtdbtk_r226_existing_MAG47_summary.tsv	UBA5794	51.44	5.642	AS	Clade 2	1
SY365BB-0-4_bin24	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Balneatricaceae;g__Motiliproteus;s__	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Balneatricaceae	Motiliproteus	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	82.88	gtdbtk_r226_existing_MAG47_summary.tsv	Balneatricaceae	88.38	2.132	IS	Clade 3	1
SY365BB-8-12_bin10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.12	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	98.7	2.647	IS	Clade 4	1
SY365BB-8-12_bin26	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP181;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NORP181	NA	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.52	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	97.97	2.876	IS	Clade 4	1
SY365BB-8-12_bin7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Moritellaceae;g__Moritella;s__	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Moritellaceae	Moritella	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	64.91	gtdbtk_r226_existing_MAG47_summary.tsv	Moritellaceae	82.2	3.333	IS	Clade 3	1
