target_id	MAG_ID	contig_id	target_gene_index	neighbor_gene_index	relative_position	role	neighbor_raw_id	start	end	strand	prodigal_attrs
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	1	-10	upstream	C1_12-18_bin19-k141_2550623_1	86	1438	+	ID=257_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.563
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	2	-9	upstream	C1_12-18_bin19-k141_2550623_2	1639	1920	+	ID=257_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.394
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	3	-8	upstream	C1_12-18_bin19-k141_2550623_3	1913	2188	+	ID=257_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.399
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	4	-7	upstream	C1_12-18_bin19-k141_2550623_4	2917	3351	-	ID=257_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.467
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	5	-6	upstream	C1_12-18_bin19-k141_2550623_5	3357	4550	-	ID=257_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.533
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	6	-5	upstream	C1_12-18_bin19-k141_2550623_6	4834	6201	+	ID=257_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.519
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	7	-4	upstream	C1_12-18_bin19-k141_2550623_7	6296	6892	+	ID=257_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.524
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	8	-3	upstream	C1_12-18_bin19-k141_2550623_8	7251	8357	+	ID=257_8;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.538
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	9	-2	upstream	C1_12-18_bin19-k141_2550623_9	8372	9616	+	ID=257_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.569
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	10	-1	upstream	C1_12-18_bin19-k141_2550623_10	9616	10191	+	ID=257_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.562
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	11	0	target	C1_12-18_bin19-k141_2550623_11	10205	12898	+	ID=257_11;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.565
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	12	1	downstream	C1_12-18_bin19-k141_2550623_12	13104	14021	-	ID=257_12;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.546
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	13	2	downstream	C1_12-18_bin19-k141_2550623_13	14070	14372	-	ID=257_13;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.594
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	14	3	downstream	C1_12-18_bin19-k141_2550623_14	14373	15044	-	ID=257_14;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.534
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	15	4	downstream	C1_12-18_bin19-k141_2550623_15	15079	15843	-	ID=257_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.579
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	16	5	downstream	C1_12-18_bin19-k141_2550623_16	15969	16838	+	ID=257_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.603
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	17	6	downstream	C1_12-18_bin19-k141_2550623_17	16847	17470	+	ID=257_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.551
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	18	7	downstream	C1_12-18_bin19-k141_2550623_18	17489	18175	+	ID=257_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.571
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	19	8	downstream	C1_12-18_bin19-k141_2550623_19	18178	19392	+	ID=257_19;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.615
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	20	9	downstream	C1_12-18_bin19-k141_2550623_20	19478	20248	+	ID=257_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.585
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	21	10	downstream	C1_12-18_bin19-k141_2550623_21	20250	21179	+	ID=257_21;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.598
