label	x	y	order_note
ThiocapmarinaAioA	1005.0	66.0	visible_in_input_svg
AmphriatlanAioA	1005.0	96.0	visible_in_input_svg
AS|S1_9-12_bin1-k141_637215_2	1005.0	126.0	visible_in_input_svg
MarinobacsantoriAioA	1005.0	156.0	visible_in_input_svg
Pseudomonstutz1AioA	1005.0	186.0	visible_in_input_svg
HalomonaestAioA	1005.0	216.0	visible_in_input_svg
HalomonbolivieAioA	1005.0	246.0	visible_in_input_svg
IS|SY366YW-4-8_bin7-k141_14765_13	1005.0	276.0	visible_in_input_svg
NS|R2111_S300_0-10_bin19-k141_825759_6	1005.0	306.0	visible_in_input_svg
HalorutebenAioA	1005.0	336.0	visible_in_input_svg
ISMEJFig5|Unknown_clade|WP_007141861.1|Halobiforma_lacisalsi	1005.0	366.0	visible_in_input_svg
IS|SY368YW-8-12_bin14-k141_222555_4	1005.0	396.0	visible_in_input_svg
IS|SY459WG-4-8_bin39-k141_681176_50	1005.0	426.0	visible_in_input_svg
R2111_N500_0-10 bin13-k141_4404301_3	1005.0	456.0	visible_in_input_svg
IS|SY368YW-8-12_bin16-k141_314641_4	1005.0	471.0	inserted_from_newick_neighbor_order
NS|R2111_N500_0-10_bin13-k141_4404301_3	1005.0	471.1	inserted_from_newick_neighbor_order
SY368YW-8-12 bin16-k141_314641_4	1005.0	486.0	visible_in_input_svg
IS|SY459WG-0-4_bin26-k141_460220_2	1005.0	516.0	visible_in_input_svg
AS|SQ_58_0-4_bin4-k141_1629246_3	1005.0	546.0	visible_in_input_svg
IS|SY366YW-0-4_bin2-k141_1353278_2	1005.0	576.0	visible_in_input_svg
ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	1005.0	606.0	visible_in_input_svg
ISMEJFig5|Unknown_clade|HAX46043.1|Nitrospina_sp	1005.0	636.0	visible_in_input_svg
ES|C2_12-18_bin17-k141_1448372_1	1005.0	666.0	visible_in_input_svg
SulfuriverfontisIdrA	1005.0	696.0	visible_in_input_svg
PseudomonSCTIdrA	1005.0	726.0	visible_in_input_svg
Notoacmemari1IdrA	1005.0	756.0	visible_in_input_svg
ES|S13_0-2_bin3-k141_1059512_3	1005.0	786.0	visible_in_input_svg
DefluviaquaeIdrA	1005.0	816.0	visible_in_input_svg
IS|SY368YW-4-8_bin24-k141_617455_9	1005.0	846.0	visible_in_input_svg
RhodophyporphyIdrA	1005.0	876.0	visible_in_input_svg
RoseovaazorenIdrA	1005.0	906.0	visible_in_input_svg
AlliiroseosediminiIdrA	1005.0	936.0	visible_in_input_svg
ES|C2_12-18_bin11-k141_1404867_2	1005.0	966.0	visible_in_input_svg
ES|S15_8-10_bin20-k141_2063280_11	1005.0	996.0	visible_in_input_svg
ES|C1_12-18_bin19-k141_2550623_11	1005.0	1026.0	visible_in_input_svg
ES|C1_12-18_bin24-k141_2459344_2	1005.0	1056.0	visible_in_input_svg
IS|SY456YB-4-8_bin24-k141_314185_12	1005.0	1086.0	visible_in_input_svg
IS|SY459WG-4-8_bin8-k141_320908_36	1005.0	1116.0	visible_in_input_svg
IS|SY457BB-0-4_bin2-k141_509701_9	1005.0	1146.0	visible_in_input_svg
AS|S1_9-12_bin1-k141_675749_2	1005.0	1176.0	visible_in_input_svg
IS|SY365BB-0-4_bin24-k141_346659_3	1005.0	1206.0	visible_in_input_svg
MarinobacpsychroIdrA	1005.0	1236.0	visible_in_input_svg
VibritapetIdrA	1005.0	1266.0	visible_in_input_svg
VibrisonorIdrA	1005.0	1296.0	visible_in_input_svg
VibrisplenIdrA	1005.0	1326.0	visible_in_input_svg
VibriatlanIdrA	1005.0	1356.0	visible_in_input_svg
IS|SY365BB-8-12_bin7-k141_1337394_7	1005.0	1386.0	visible_in_input_svg
MoriteldasaIdrA	1005.0	1416.0	visible_in_input_svg
MoritelyayanIdrA	1005.0	1446.0	visible_in_input_svg
MoritelviscoIdrA	1005.0	1476.0	visible_in_input_svg
CohaesibacgelatiIdrA	1005.0	1506.0	visible_in_input_svg
IS|SY457BB-0-4_bin35-k141_455312_8	1005.0	1536.0	visible_in_input_svg
RuegerinterIdrA	1005.0	1566.0	visible_in_input_svg
RuegerhaloIdrA	1005.0	1596.0	visible_in_input_svg
IS|SY366YB-0-4_bin3-k141_281514_2	1005.0	1626.0	visible_in_input_svg
PseudoviaxineIdrA	1005.0	1656.0	visible_in_input_svg
LabrenalbaIdrA	1005.0	1686.0	visible_in_input_svg
PelagimonvariaIdrA	1005.0	1716.0	visible_in_input_svg
LitoritaeaneIdrA	1005.0	1746.0	visible_in_input_svg
OricolacelluIdrA	1005.0	1776.0	visible_in_input_svg
RoseobaclitorIdrA	1005.0	1806.0	visible_in_input_svg
LitoreiascidiIdrA	1005.0	1836.0	visible_in_input_svg
IS|SY366YW-0-4_bin34-k141_1276861_15	1005.0	1866.0	visible_in_input_svg
IS|SY366YW-0-4_bin9-k141_1360848_3	1005.0	1896.0	visible_in_input_svg
IS|SY457BB-0-4_bin6-k141_196093_82	1005.0	1926.0	visible_in_input_svg
IS|SY457BB-4-8_bin33-k141_110702_26	1005.0	1956.0	visible_in_input_svg
IS|SY456YB-8-12_bin5-k141_222164_2	1005.0	1986.0	visible_in_input_svg
IS|SY459WG-8-12_bin19-k141_364478_5	1005.0	2016.0	visible_in_input_svg
IS|SY456YB-8-12_bin4-k141_708485_189	1005.0	2046.0	visible_in_input_svg
IS|SY457BB-8-12_bin10-k141_377897_3	1005.0	2076.0	visible_in_input_svg
IS|SY459WG-0-4_bin37-k141_569169_31	1005.0	2106.0	visible_in_input_svg
IS|SY366YB-0-4_bin5-k141_98994_2	1005.0	2136.0	visible_in_input_svg
IS|SY365BB-8-12_bin8-k141_832694_5	1005.0	2166.0	visible_in_input_svg
IS|SY368YW-8-12_bin33-k141_1103131_193	1005.0	2196.0	visible_in_input_svg
IS|SY459WG-8-12_bin2-k141_281775_92	1005.0	2226.0	visible_in_input_svg
IS|SY456YB-8-12_bin34-k141_963697_76	1005.0	2256.0	visible_in_input_svg
IS|SY457BB-8-12_bin25-k141_129537_12	1005.0	2286.0	visible_in_input_svg
IS|SY457BB-8-12_bin4-k141_1432391_5	1005.0	2316.0	visible_in_input_svg
IS|SY457BB-4-8_bin29-k141_12975_7	1005.0	2346.0	visible_in_input_svg
IS|SY457BB-8-12_bin15-k141_1498167_38	1005.0	2376.0	visible_in_input_svg
IS|SY457BB-8-12_bin16-k141_1142550_1	1005.0	2406.0	visible_in_input_svg
IS|SY456YB-0-4_bin8-k141_492248_42	1005.0	2436.0	visible_in_input_svg
IS|SY365BB-8-12_bin26-k141_1297159_20	1005.0	2466.0	visible_in_input_svg
IS|SY365BB-8-12_bin10-k141_688982_32	1005.0	2496.0	visible_in_input_svg
IS|SY456YB-8-12_bin27-k141_1029503_28	1005.0	2526.0	visible_in_input_svg
IS|SY366YW-8-12_bin2-k141_497241_22	1005.0	2556.0	visible_in_input_svg
