prefixed_target_ID	protein_ID	MAG_ID	source_class	curated_or_blind_group	IdrA_full_evalue	IdrA_bitscore	IdrA_full_bias	IdrA_domain_count	IdrA_best_domain_bitscore	IdrA_best_domain_i_evalue	IdrA_hmm_length	IdrA_protein_length	IdrA_hmm_coverage_pct	IdrA_protein_coverage_pct	IdrA_best_hmm_from	IdrA_best_hmm_to	IdrA_best_ali_from	IdrA_best_ali_to	AioA_full_evalue	AioA_bitscore	AioA_full_bias	AioA_domain_count	AioA_best_domain_bitscore	AioA_best_domain_i_evalue	AioA_hmm_length	AioA_protein_length	AioA_hmm_coverage_pct	AioA_protein_coverage_pct	AioA_best_hmm_from	AioA_best_hmm_to	AioA_best_ali_from	AioA_best_ali_to	combined_full_evalue	combined_bitscore	combined_full_bias	combined_domain_count	combined_best_domain_bitscore	combined_best_domain_i_evalue	combined_hmm_length	combined_protein_length	combined_hmm_coverage_pct	combined_protein_coverage_pct	combined_best_hmm_from	combined_best_hmm_to	combined_best_ali_from	combined_best_ali_to	IdrA_minus_AioA_bitscore	normalized_IdrA_bitscore	normalized_AioA_bitscore	normalized_delta_bitscore
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	core49_T640_intersection	IdrA phylogenetic	0.0	1383.4	16.1	1	1383.3	0.0	890	898	99.66292134831461	99.55456570155901	4	890	4	897	5.1e-133	436.6	12.4	2	418.6	1.4e-127	855	898	99.29824561403508	95.5456570155902	4	779	7	789	9.9e-291	958.5	9.8	1	958.2	1.2e-290	871	898	99.42594718714122	99.22048997772829	4	869	6	896	946.8000000000001	1.5405345211581292	0.48619153674832966	1.0543429844097996
C1_12-18_bin24|C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24	core49_T640_intersection	IdrA phylogenetic	0.0	1133.1	5.0	1	1133.0	0.0	890	707	78.08988764044943	99.85855728429986	2	696	2	707	1.3e-107	352.5	1.4	1	347.0	6.3e-106	855	707	80.35087719298245	94.48373408769449	5	691	8	675	2.9e-239	788.2	1.8	1	788.0	3.5e-239	871	707	80.02296211251435	96.32248939179632	4	700	6	686	780.5999999999999	1.6026874115983025	0.4985855728429986	1.1041018387553039
C2_12-18_bin11|C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	core49_T640_intersection	IdrA phylogenetic	0.0	1304.0	12.0	1	1303.8	0.0	890	908	99.5505617977528	98.34801762114537	4	889	14	906	1.3e-136	448.5	10.6	2	428.8	1.2e-130	855	908	98.94736842105263	94.16299559471365	3	776	16	796	9.1e-284	935.5	7.2	1	935.3	1.1e-283	871	908	99.54075774971297	98.23788546255507	3	869	15	906	855.5	1.4361233480176212	0.493942731277533	0.9421806167400881
C2_12-18_bin17|C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17	core49_T640_intersection	IdrA phylogenetic	0.0	1321.0	0.8	1	1320.9	0.0	890	847	95.95505617977528	99.8819362455726	2	855	2	847	5.2e-133	436.6	0.0	3	260.2	1e-79	855	847	92.51461988304094	94.9232585596222	278	779	253	774	2.8e-280	923.9	0.0	1	923.7	3.3e-280	871	847	95.5223880597015	99.40968122786305	4	835	6	847	884.4	1.5596221959858323	0.5154663518299882	1.044155844155844
R2111_S300_0-10_bin19|R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	core49_T640_intersection	Canonical AioA	3.7e-141	463.6	0.0	3	227.8	6.4e-70	890	830	93.82022471910112	99.63855421686748	11	325	3	339	2.9e-305	1006.4	0.0	1	1006.3	3.2e-305	855	830	98.94736842105263	99.39759036144578	7	852	2	826	4.8e-294	969.5	0.0	1	969.3	5.4e-294	871	830	99.08151549942595	99.63855421686748	8	870	2	828	-542.8	0.5585542168674699	1.2125301204819277	-0.6539759036144578
R2111_S300_0-10_bin6|R2111_S300_0-10_bin6-k141_8337747_2	R2111_S300_0-10_bin6-k141_8337747_2	R2111_S300_0-10_bin6	T640_new_blind_candidate	blind_unclassified	6.9e-196	644.7	0.0	1	644.5	7.7e-196	890	418	47.19101123595506	99.52153110047847	470	889	1	416	2.1e-62	203.0	0.0	2	175.8	3.5e-54	855	418	44.67836257309941	90.9090909090909	469	780	3	310	2e-135	444.7	0.0	1	444.5	2.2e-135	871	418	45.00574052812859	99.52153110047847	478	869	1	416	441.70000000000005	1.5423444976076557	0.48564593301435405	1.0566985645933016
S13_0-2_bin3|S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3	core49_T640_intersection	IdrA phylogenetic	0.0	1364.4	6.2	1	1364.2	0.0	890	710	78.20224719101124	97.74647887323944	2	697	2	695	1.3e-120	395.6	0.1	1	390.7	3.7e-119	855	710	80.46783625730994	93.66197183098592	4	691	7	671	9.1e-282	928.9	0.5	1	928.5	1.1e-281	871	710	80.71182548794489	97.04225352112677	3	705	5	693	968.8000000000001	1.9216901408450706	0.5571830985915494	1.3645070422535213
S15_8-10_bin20|S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	core49_T640_intersection	IdrA phylogenetic	0.0	1376.8	17.5	1	1376.6	0.0	890	898	99.5505617977528	99.44320712694878	5	890	5	897	1.2e-135	445.3	13.3	2	434.1	2.8e-132	855	898	99.18128654970761	95.43429844097996	5	779	8	789	1.1e-291	961.7	11.9	1	961.3	1.4e-291	871	898	99.42594718714122	99.22048997772829	4	869	6	896	931.5	1.533184855233853	0.49587973273942093	1.037305122494432
S1_6-9_bin10|S1_6-9_bin10-k141_481815_1	S1_6-9_bin10-k141_481815_1	S1_6-9_bin10	T640_new_blind_candidate	blind_unclassified	2.7e-242	798.2	14.8	1	798.0	3.1e-242	890	512	57.752808988764045	99.609375	282	795	2	511	5e-77	251.4	0.3	1	249.8	1.5e-76	855	512	55.55555555555556	97.4609375	306	780	1	499	1.6e-166	547.6	5.3	1	547.3	1.9e-166	871	512	56.25717566016073	97.4609375	305	794	1	499	546.8000000000001	1.558984375	0.491015625	1.0679687500000001
S1_6-9_bin10|S1_6-9_bin10-k141_876983_1	S1_6-9_bin10-k141_876983_1	S1_6-9_bin10	T640_new_blind_candidate	blind_unclassified	1.3e-280	925.0	8.9	1	924.8	1.5e-280	890	611	68.20224719101124	98.69067103109656	282	888	2	604	3.6e-84	275.0	0.3	2	248.6	3.4e-76	855	611	63.9766081871345	94.27168576104746	306	780	1	499	9e-192	631.1	1.2	1	630.9	1e-191	871	611	64.75315729047072	98.8543371522095	305	868	1	604	650.0	1.513911620294599	0.4500818330605565	1.0638297872340425
