protein_id	normalized_id	source	combined_bitscore	idrA_bitscore	aioA_bitscore	idrA_minus_aioA	tree_clade	gene_neighborhood	final_class	confidence	notes
IS|SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24-k141_346659_3	original_48	996.1	1460.6	438.7	1021.9					
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	original_48	989.9	1395.5	454.5	941.0					
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	original_48	1000.0	1398.0	463.9	934.1					
IS|SY365BB-8-12_bin7-k141_1337394_7	SY365BB-8-12_bin7-k141_1337394_7	original_48	1029.6	1537.7	442.2	1095.5					
IS|SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8-k141_832694_5	original_48	989.1	1387.2	462.6	924.6					
IS|SY366YB-0-4_bin3-k141_281514_2	SY366YB-0-4_bin3-k141_281514_2	original_48	855.9	1260.5	374.4	886.1					
IS|SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5-k141_98994_2	original_48	993.7	1396.4	461.2	935.2					
IS|SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2-k141_1353278_2	original_48	783.9	859.2	493.2	366.0					
IS|SY366YW-0-4_bin34-k141_1276861_15	SY366YW-0-4_bin34-k141_1276861_15	original_48	961.3	1373.2	446.5	926.7					
IS|SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9-k141_1360848_3	original_48	982.0	1388.8	456.1	932.7					
IS|SY366YW-4-8_bin7-k141_14765_13	SY366YW-4-8_bin7-k141_14765_13	original_48	1175.0	388.4	1314.7	-926.3					
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	original_48	995.7	1391.1	467.0	924.1					
IS|SY368YW-4-8_bin24-k141_617455_9	SY368YW-4-8_bin24-k141_617455_9	original_48	1177.5	1762.1	486.2	1275.9					
IS|SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14-k141_222555_4	original_48	775.5	864.9	475.0	389.9					
IS|SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16-k141_314641_4	original_48	776.8	871.9	482.3	389.6					
IS|SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33-k141_1103131_193	original_48	987.6	1382.6	461.4	921.2					
IS|SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8-k141_492248_42	original_48	990.0	1395.7	454.9	940.8					
IS|SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24-k141_314185_12	original_48	963.4	1383.4	465.4	918.0					
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	original_48	997.1	1395.5	461.9	933.6					
IS|SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34-k141_963697_76	original_48	994.2	1396.5	464.0	932.5					
IS|SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4-k141_708485_189	original_48	972.3	1373.4	447.0	926.4					
IS|SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5-k141_222164_2	original_48	988.2	1386.1	472.5	913.6					
IS|SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2-k141_509701_9	original_48	965.1	1386.1	470.0	916.1					
IS|SY457BB-0-4_bin35-k141_455312_8	SY457BB-0-4_bin35-k141_455312_8	original_48	982.4	1399.6	455.5	944.1					
IS|SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6-k141_196093_82	original_48	989.2	1391.3	463.4	927.9					
IS|SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29-k141_12975_7	original_48	982.2	1383.8	450.2	933.6					
IS|SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33-k141_110702_26	original_48	989.2	1390.6	467.3	923.3					
IS|SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10-k141_377897_3	original_48	981.5	1381.5	452.3	929.2					
IS|SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15-k141_1498167_38	original_48	994.3	1395.4	462.7	932.7					
IS|SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16-k141_1142550_1	original_48	992.4	1394.8	460.0	934.8					
IS|SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25-k141_129537_12	original_48	990.7	1388.8	462.2	926.6					
IS|SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4-k141_1432391_5	original_48	991.0	1391.3	460.2	931.1					
IS|SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26-k141_460220_2	original_48	787.4	856.7	481.0	375.7					
IS|SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37-k141_569169_31	original_48	994.7	1391.1	470.3	920.8					
IS|SY459WG-4-8_bin39-k141_681176_50	SY459WG-4-8_bin39-k141_681176_50	original_48	806.0	896.1	510.2	385.9					
IS|SY459WG-4-8_bin8-k141_320908_36	SY459WG-4-8_bin8-k141_320908_36	original_48	957.3	1381.2	463.7	917.5					
IS|SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19-k141_364478_5	original_48	978.8	1364.2	456.2	908.0					
IS|SY459WG-8-12_bin2-k141_281775_92	SY459WG-8-12_bin2-k141_281775_92	original_48	988.4	1384.4	462.8	921.6					
AS|S1_9-12_bin1-k141_637215_2	S1_9-12_bin1-k141_637215_2	original_48	1087.1	365.8	1204.3	-838.5					
AS|S1_9-12_bin1-k141_675749_2	S1_9-12_bin1-k141_675749_2	original_48	808.1	1159.3	360.0	799.3					
AS|SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4-k141_1629246_3	original_48	776.6	855.0	489.3	365.7					
ES|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	original_48	958.5	1383.4	436.6	946.8					
ES|C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24-k141_2459344_2	original_48	788.2	1133.1	352.5	780.6					
ES|C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11-k141_1404867_2	original_48	935.5	1304.0	448.5	855.5					
ES|C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17-k141_1448372_1	original_48	923.9	1321.0	436.6	884.4					
ES|S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3-k141_1059512_3	original_48	928.9	1364.4	395.6	968.8					
ES|S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20-k141_2063280_11	original_48	961.7	1376.8	445.3	931.5					
NS|R2111_N500_0-10_bin13-k141_4404301_3	R2111_N500_0-10_bin13-k141_4404301_3	original_48	780.4	874.2	487.3	386.9					
NS|R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19-k141_825759_6	original_48	969.5	463.6	1006.4	-542.8					
