group	bin_id	K08356_hit_count	K08356_full_gene_ids	K08356_gene_ids	source_faa	input_symlink	protein_sequence_count	file_bytes	sha256
AS	S1_9-12_bin1	2	S1_9-12_bin1-k141_637215_2;S1_9-12_bin1-k141_675749_2	k141_637215_2;k141_675749_2	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/AS/AS_50_10_dRep/dereplicated_genomes/S1_9-12_bin1.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/S1_9-12_bin1.cds.faa	2668	1055868	266c36f67a65bfae445c0b072d68881de308e11e2bd2bc9dc7c6a9e91ac027d0
AS	SQ_58_0-4_bin4	1	SQ_58_0-4_bin4-k141_1629246_3	k141_1629246_3	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/AS/AS_50_10_dRep/dereplicated_genomes/SQ_58_0-4_bin4.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SQ_58_0-4_bin4.cds.faa	2409	954687	431a5780027c6004f104bac28c08f90f3e861bdd80fca184cfb22265eef8bc02
ES	C1_12-18_bin19	1	C1_12-18_bin19-k141_2550623_11	k141_2550623_11	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/ES/ES_50_10_dRep/dereplicated_genomes/C1_12-18_bin19.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/C1_12-18_bin19.cds.faa	2841	1256284	fb029939276940b7f6d5c0739751d141d28588fa66e068ca2eb5bf642c26ae0f
ES	C1_12-18_bin24	1	C1_12-18_bin24-k141_2459344_2	k141_2459344_2	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/ES/ES_50_10_dRep/dereplicated_genomes/C1_12-18_bin24.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/C1_12-18_bin24.cds.faa	2694	1084353	53a7a38b31dc6ea92c10413fe069c6304196b6cd63634cc4ae47a1364e36f42b
ES	C2_12-18_bin11	1	C2_12-18_bin11-k141_1404867_2	k141_1404867_2	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/ES/ES_50_10_dRep/dereplicated_genomes/C2_12-18_bin11.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/C2_12-18_bin11.cds.faa	3454	1443809	0640d74e130dd9f2ccea03dd0ca85e08f9ee5a9b5c2577c09e0e9d6bddbeec55
ES	C2_12-18_bin17	1	C2_12-18_bin17-k141_1448372_1	k141_1448372_1	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/ES/ES_50_10_dRep/dereplicated_genomes/C2_12-18_bin17.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/C2_12-18_bin17.cds.faa	3942	1636565	77c766ff20771fe92d61528e115c1e3c53cb33d9a18b163d49188d133772fd92
ES	S13_0-2_bin3	1	S13_0-2_bin3-k141_1059512_3	k141_1059512_3	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/ES/ES_50_10_dRep/dereplicated_genomes/S13_0-2_bin3.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/S13_0-2_bin3.cds.faa	2268	915512	5d5f75affa14876c1069756c20c8ad937d70054e429dabcf9433e986d245a947
ES	S15_8-10_bin20	1	S15_8-10_bin20-k141_2063280_11	k141_2063280_11	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/ES/ES_50_10_dRep/dereplicated_genomes/S15_8-10_bin20.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/S15_8-10_bin20.cds.faa	2021	829975	a90439c44ba246360554decd4bb0e1864c35bc6558b510b89614661c72ba018f
IS	SY365BB-0-4_bin24	1	SY365BB-0-4_bin24-k141_346659_3	k141_346659_3	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY365BB-0-4_bin24.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY365BB-0-4_bin24.cds.faa	3326	1449061	6f370dc88658b8aea63e6c0ff5877a6ccfe9fe2bf41f7044ce90cd602c8a59c0
IS	SY365BB-8-12_bin10	1	SY365BB-8-12_bin10-k141_688982_32	k141_688982_32	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY365BB-8-12_bin10.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY365BB-8-12_bin10.cds.faa	3371	1542654	b5bc661ce316682bb69c5aa55b184888b721377aaeaada13f0c6fcd02371f35b
