MAG_ID	Habitat	completeness	contamination	GC	checkm_lineage	N50	genome_size_bp	binner	quality_source	clade_memberships	meets_MQ_50_10
S1_9-12_bin1	AS	70.14	8.777	0.436	Bacteria	5026	2475133	binsABC	AS__S1_9-12.stats	Canonical AioA; IdrA phylogenetic	TRUE
SQ_58_0-4_bin4	AS	51.44	5.642	0.647	Bacteria	3233	2010926	binsABC	AS__SQ_58_0-4.stats	Uncertain DMSOR	TRUE
C1_12-18_bin19	ES	89.59	2.119	0.555	Gammaproteobacteria	13844	2880016	binsAC	ES__C1_12-18.stats	IdrA phylogenetic	TRUE
C1_12-18_bin24	ES	54.44	9.119	0.578	Gammaproteobacteria	2552	2282941	binsA	ES__C1_12-18.stats	IdrA phylogenetic	TRUE
C2_12-18_bin11	ES	73.18	6.127	0.614	Gammaproteobacteria	4890	3100154	binsAB	ES__C2_12-18.stats	IdrA phylogenetic	TRUE
C2_12-18_bin17	ES	69.25	4.828	0.56	Bacteria	3590	3659044	binsAC	ES__C2_12-18.stats	IdrA phylogenetic	TRUE
S13_0-2_bin3	ES	60.57	3.83	0.658	Alphaproteobacteria	4628	2045121	binsAC	ES__S13_0-2.stats	IdrA phylogenetic	TRUE
S15_8-10_bin20	ES	74.38	6.238	0.521	Gammaproteobacteria	5519	1852579	binsABC	ES__S15_8-10.stats	IdrA phylogenetic	TRUE
SY365BB-0-4_bin24	IS	88.38	2.132	0.557	Oceanospirillales	8808	3325704	binsABC	IS__SY365BB-0-4.stats	IdrA phylogenetic	TRUE
SY365BB-8-12_bin10	IS	98.7	2.647	0.512	Rhodobacteraceae	175219	3372348	binsA	IS__SY365BB-8-12.stats	DIRM-synteny IdrA	TRUE
SY365BB-8-12_bin26	IS	97.97	2.876	0.553	Rhodobacteraceae	28813	4847369	binsAB	IS__SY365BB-8-12.stats	DIRM-synteny IdrA	TRUE
SY365BB-8-12_bin7	IS	82.2	3.333	0.398	Gammaproteobacteria	8473	4132586	binsABC	IS__SY365BB-8-12.stats	IdrA phylogenetic	TRUE
SY365BB-8-12_bin8	IS	56.89	8.62	0.526	Bacteria	11826	4261136	binsAC	IS__SY365BB-8-12.stats	DIRM-synteny IdrA	TRUE
SY366YB-0-4_bin3	IS	58.36	3.361	0.623	Proteobacteria	2238	2106363	binsA	IS__SY366YB-0-4.stats	IdrA phylogenetic	TRUE
SY366YB-0-4_bin5	IS	71.3	5.933	0.534	Alphaproteobacteria	5088	2367865	binsBC	IS__SY366YB-0-4.stats	IdrA phylogenetic	TRUE
SY366YW-0-4_bin2	IS	52.68	7.692	0.633	Bacteria	3059	1724497	binsAC	IS__SY366YW-0-4.stats	Uncertain DMSOR	TRUE
SY366YW-0-4_bin34	IS	95.86	1.956	0.498	Alphaproteobacteria	41298	3963819	binsA	IS__SY366YW-0-4.stats	DIRM-synteny IdrA	TRUE
SY366YW-0-4_bin9	IS	94.52	0.597	0.518	Rhodospirillales	40310	3783209	binsA	IS__SY366YW-0-4.stats	DIRM-synteny IdrA	TRUE
SY366YW-4-8_bin7	IS	98.59	2.6	0.544	Gammaproteobacteria	88306	4422106	binsBC	IS__SY366YW-4-8.stats	Canonical AioA	TRUE
SY366YW-8-12_bin2	IS	97.87	1.367	0.489	Rhodobacteraceae	111621	3662670	binsA	IS__SY366YW-8-12.stats	DIRM-synteny IdrA	TRUE
SY368YW-4-8_bin24	IS	68.96	0	0.608	Bacteria	11009	3174996	binsC	IS__SY368YW-4-8.stats	IdrA phylogenetic	TRUE
SY368YW-8-12_bin14	IS	65.87	2.136	0.563	Bacteria	3491	1777223	binsC	IS__SY368YW-8-12.stats	Uncertain DMSOR	TRUE
SY368YW-8-12_bin16	IS	68.01	4.487	0.604	Bacteria	7387	1874117	binsABC	IS__SY368YW-8-12.stats	Uncertain DMSOR	TRUE
SY368YW-8-12_bin33	IS	86.01	0.658	0.564	Rhodobacteraceae	95291	2782009	binsABC	IS__SY368YW-8-12.stats	DIRM-synteny IdrA	TRUE
SY456YB-0-4_bin8	IS	97.72	8.262	0.526	Rhodobacteraceae	56278	3092943	binsABC	IS__SY456YB-0-4.stats	DIRM-synteny IdrA	TRUE
