prefixed_target_ID	protein_ID	MAG_ID	source_class	curated_or_blind_group	IdrA_bitscore	IdrA_hmm_coverage_pct	IdrA_protein_coverage_pct	AioA_bitscore	AioA_hmm_coverage_pct	AioA_protein_coverage_pct	combined_bitscore	combined_hmm_coverage_pct	combined_protein_coverage_pct	nearest_reference_ID	nearest_reference_group	patristic_distance	tree_based_conservative_note	Final_class	class_color	Confidence	classification_rule	strict_synteny_QC_pass	neighborhood_class	B_related_gene	B_related_family	P_like_count	P_like_genes
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	core49_T640_intersection	IdrA phylogenetic	1383.4	99.6629213483146	99.554565701559	436.6	99.2982456140351	95.5456570155902	958.5	99.4259471871412	99.2204899777283	VibritapetIdrA	IdrA reference	0.4610162414	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	C1_12-18_bin19-k141_2550623_10	IdrB_related	2	C1_12-18_bin19-k141_2550623_8;C1_12-18_bin19-k141_2550623_9
C1_12-18_bin24|C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24	core49_T640_intersection	IdrA phylogenetic	1133.1	78.0898876404494	99.8585572842999	352.5	80.3508771929825	94.4837340876945	788.2	80.0229621125143	96.3224893917963	VibritapetIdrA	IdrA reference	0.3768081954	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	C1_12-18_bin24-k141_2459344_1	IdrB_related	0	
C2_12-18_bin11|C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	core49_T640_intersection	IdrA phylogenetic	1304	99.5505617977528	98.3480176211454	448.5	98.9473684210526	94.1629955947136	935.5	99.540757749713	98.2378854625551	RuegerinterIdrA	IdrA reference	0.7654978709	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	C2_12-18_bin11-k141_1404867_1	IdrB_related	0	
C2_12-18_bin17|C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17	core49_T640_intersection	IdrA phylogenetic	1321	95.9550561797753	99.8819362455726	436.6	92.5146198830409	94.9232585596222	923.9	95.5223880597015	99.409681227863	SulfuriverfontisIdrA	IdrA reference	0.6801664592	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	C2_12-18_bin17-k141_1448372_2	IdrB_related	1	C2_12-18_bin17-k141_1448372_3
R2111_S300_0-10_bin19|R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	core49_T640_intersection	Canonical AioA	463.6	93.8202247191011	99.6385542168675	1006.4	98.9473684210526	99.3975903614458	969.5	99.081515499426	99.6385542168675	ChloroflexauraAioA	AioA reference	0.9077289514	Nearest reference group: AioA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	Canonical AioA clade	#009E73	High	retained from strict-QC 49-protein evidence table	no	Aio-like neighborhood	R2111_S300_0-10_bin19-k141_825759_9	canonical_AioB	0	
R2111_S300_0-10_bin6|R2111_S300_0-10_bin6-k141_8337747_2	R2111_S300_0-10_bin6-k141_8337747_2	R2111_S300_0-10_bin6	T640_new_blind_candidate	blind_unclassified	644.7	47.1910112359551	99.5215311004785	203	44.6783625730994	90.9090909090909	444.7	45.0057405281286	99.5215311004785	SulfuriverfontisIdrA	IdrA reference	0.5922230898	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	new T640 candidate; IdrA-reference placement without complete B+2P neighborhood support	no	unresolved/truncated neighborhood			0	
S13_0-2_bin3|S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3	core49_T640_intersection	IdrA phylogenetic	1364.4	78.2022471910112	97.7464788732394	395.6	80.4678362573099	93.6619718309859	928.9	80.7118254879449	97.0422535211268	RhodophyporphyIdrA	IdrA reference	0.2088950023	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	S13_0-2_bin3-k141_1059512_2	IdrB_related	1	S13_0-2_bin3-k141_1059512_1
S15_8-10_bin20|S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	core49_T640_intersection	IdrA phylogenetic	1376.8	99.5505617977528	99.4432071269488	445.3	99.1812865497076	95.43429844098	961.7	99.4259471871412	99.2204899777283	VibritapetIdrA	IdrA reference	0.4811294571	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	unresolved/truncated neighborhood			0	
S1_6-9_bin10|S1_6-9_bin10-k141_481815_1	S1_6-9_bin10-k141_481815_1	S1_6-9_bin10	T640_new_blind_candidate	blind_unclassified	798.2	57.752808988764	99.609375	251.4	55.5555555555556	97.4609375	547.6	56.2571756601607	97.4609375	SulfuriverfontisIdrA	IdrA reference	0.6898323404	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	new T640 candidate; IdrA-reference placement without complete B+2P neighborhood support	no	unresolved/truncated neighborhood			0	
S1_6-9_bin10|S1_6-9_bin10-k141_876983_1	S1_6-9_bin10-k141_876983_1	S1_6-9_bin10	T640_new_blind_candidate	blind_unclassified	925	68.2022471910112	98.6906710310966	275	63.9766081871345	94.2716857610475	631.1	64.7531572904707	98.8543371522095	SulfuriverfontisIdrA	IdrA reference	0.6885758009	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	new T640 candidate; IdrA-reference placement without complete B+2P neighborhood support	no	unresolved/truncated neighborhood			0	
