target_id	bin_id	contig_id	target_gene_index	n_genes_in_window	target_annotation	idrB_present	idrP1_present	idrP2_present	aioB_present	aio_operon_like	gene_neighborhood	neighborhood_notes
C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	C1_12-18_bin19-k141_2550623	11	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-6:rank: D; 2-phospho-L-lactate transferase CofD [PF01933.23] (db=pfam); -1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 3:rank: C; intracellular septation protein (db=kegg)
C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24	C1_12-18_bin24-k141_2459344	2	2	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	C2_12-18_bin11-k141_1404867	2	4	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17	C2_12-18_bin17-k141_1448372	1	3	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	16	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3	S13_0-2_bin3-k141_1059512	3	3	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	11	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	No	No	no idrB/idrP1/idrP2/aioB detected in DRAM +/-10 annotations	-6:rank: C; putative ABC transport system ATP-binding protein (db=kegg); -5:rank: C; putative ABC transport system permease protein (db=kegg); -4:rank: C; putative ABC transport system permease protein (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
S1_9-12_bin1-k141_637215_2	S1_9-12_bin1	S1_9-12_bin1-k141_637215	2	3	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
S1_9-12_bin1-k141_675749_2	S1_9-12_bin1	S1_9-12_bin1-k141_675749	2	2	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4	SQ_58_0-4_bin4-k141_1629246	3	3	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24	SY365BB-0-4_bin24-k141_346659	3	5	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	SY365BB-8-12_bin10-k141_688982	32	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26	SY365BB-8-12_bin26-k141_1297159	20	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY365BB-8-12_bin7-k141_1337394_7	SY365BB-8-12_bin7	SY365BB-8-12_bin7-k141_1337394	7	15	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8	SY365BB-8-12_bin8-k141_832694	5	11	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
