user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
C1_12-18_bin19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__JASJBU01;s__	N/A	N/A	N/A	N/A	N/A	GCA_039714955.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__JASJBU01;s__JASJBU01 sp039714955	90.17	0.497	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__JASJBU01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	91.18	11	0.9695	N/A
C1_12-18_bin24	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__GCA-001735895;s__	N/A	N/A	N/A	N/A	N/A	GCA_024232855.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__GCA-001735895;s__GCA-001735895 sp024232855	89.41	0.299	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__GCA-001735895;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	43.92	11	0.97511	N/A
C2_12-18_bin11	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__HK1;f__HK1;g__JAABYT01;s__JAABYT01 sp009937425	GCA_009937425.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__HK1;f__HK1;g__JAABYT01;s__JAABYT01 sp009937425	96.31	0.855	GCA_009937425.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__HK1;f__HK1;g__JAABYT01;s__JAABYT01 sp009937425	96.31	0.855	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__HK1;f__HK1;g__JAABYT01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_964194585.1, s__JAABYT01 sp964194585, 95.0, 83.87, 0.153	62.97	11	N/A	N/A
C2_12-18_bin17	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineifilales;f__Promineifilaceae;g__UBA11865;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineifilales;f__Promineifilaceae;g__UBA11865;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	60.07	11	0.9498	N/A
R2111_S300_0-10_bin19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__SPGG2;g__VRUB01;s__VRUB01 sp019456345	GCA_019456345.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__SPGG2;g__VRUB01;s__VRUB01 sp019456345	97.6	0.827	GCA_019456345.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__SPGG2;g__VRUB01;s__VRUB01 sp019456345	97.6	0.827	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__SPGG2;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	72.58	11	N/A	N/A
S13_0-2_bin3	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__JAKSDN01;g__CALJXB01;s__CALJXB01 sp030598385	GCA_030598385.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__JAKSDN01;g__CALJXB01;s__CALJXB01 sp030598385	98.52	0.527	GCA_030598385.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__JAKSDN01;g__CALJXB01;s__CALJXB01 sp030598385	98.52	0.527	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__JAKSDN01;g__CALJXB01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_937974415.1, s__CALJXB01 sp937974415, 95.0, 86.27, 0.241	43.71	11	N/A	Genome has more than 10.0% of markers with multiple hits
S15_8-10_bin20	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	60.33	11	0.8426	N/A
S1_9-12_bin1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	53.3	11	0.97215	Genome has more than 11.7% of markers with multiple hits
SQ_58_0-4_bin4	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JACZST01;s__	N/A	N/A	N/A	N/A	N/A	GCA_964195125.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JACZST01;s__JACZST01 sp964195125	94.82	0.434	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JACZST01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_022574065.1, s__JACZST01 sp022574065, 95.71, 90.68, 0.261; GCA_022566415.1, s__JACZST01 sp022566415, 95.0, 90.55, 0.367; GCA_036985755.1, s__JACZST01 sp036985755, 95.0, 87.0, 0.196	28.79	11	0.99105	N/A
SY365BB-0-4_bin24	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Balneatricaceae;g__Motiliproteus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Balneatricaceae;g__Motiliproteus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	82.88	11	0.95795	N/A
