tree_label	candidate_id	MAG_ID	Final_class	gene_id	relative_position	relative_bp_start	relative_bp_end	strand	plot_label	KO	annotation
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_1	-10	-11465.5	-10113.5	+	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_2	-9	-9912.5	-9631.5	+	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_3	-8	-9638.5	-9363.5	+	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_4	-7	-8634.5	-8200.5	-	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_5	-6	-8194.5	-7001.5	-	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_6	-5	-6717.5	-5350.5	+	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_7	-4	-5255.5	-4659.5	+	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_8	-3	-4300.5	-3194.5	+	P-like		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_9	-2	-3179.5	-1935.5	+	P-like		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_10	-1	-1935.5	-1360.5	+	B-related small subunit		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_11	0	-1346.5	1346.5	+	AioA/IdrA-related A		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_12	1	1552.5	2469.5	-	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_13	2	2518.5	2820.5	-	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_14	3	2821.5	3492.5	-	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_15	4	3527.5	4291.5	-	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_16	5	4417.5	5286.5	+	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_17	6	5295.5	5918.5	+	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_18	7	5937.5	6623.5	+	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_19	8	6626.5	7840.5	+	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_20	9	7926.5	8696.5	+	function unknown		
C1_12-18_bin19|C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	IdrA-associated clade	C1_12-18_bin19-k141_2550623_21	10	8698.5	9627.5	+	function unknown		
C1_12-18_bin24|C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24	IdrA-associated clade	C1_12-18_bin24-k141_2459344_1	-1	-1487.0	-1071.0	+	B-related small subunit		
C1_12-18_bin24|C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24	IdrA-associated clade	C1_12-18_bin24-k141_2459344_2	0	-1060.0	1060.0	+	AioA/IdrA-related A		
C2_12-18_bin11|C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	IdrA-associated clade	C2_12-18_bin11-k141_1404867_1	-1	-1698.5	-1369.5	+	B-related small subunit		
C2_12-18_bin11|C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	IdrA-associated clade	C2_12-18_bin11-k141_1404867_2	0	-1361.5	1361.5	+	AioA/IdrA-related A		
